clan,ses_1,ses_2,ses_3,ses_4,ses_5,ses_6,ses_7,ses_8,education_academic,education_vocational,education_no_qualifications,notes
malachite,0.05,0.08,0.12,0.15,0.20,0.18,0.14,0.08,0.65,0.30,0.05,Industrious artisans; solid middle-class craftspeople
granite,0.03,0.05,0.08,0.12,0.15,0.20,0.22,0.15,0.70,0.25,0.05,Hierarchical civic leaders; tradition of education and status
flint,0.30,0.25,0.20,0.12,0.07,0.03,0.02,0.01,0.25,0.48,0.27,Gritty pragmatists; miners and frontline workers
alabaster,0.35,0.28,0.18,0.10,0.05,0.02,0.01,0.01,0.30,0.38,0.32,Marginalised; often in lower-status roles
sandstone,0.12,0.15,0.18,0.20,0.15,0.10,0.06,0.04,0.55,0.35,0.10,Adaptable traders and bridge-builders; spread across ranks
obsidian,0.03,0.05,0.08,0.10,0.15,0.20,0.22,0.17,0.80,0.15,0.05,Philosophical lorekeepers; educated elite
bismuth,0.05,0.08,0.12,0.15,0.18,0.18,0.15,0.09,0.75,0.20,0.05,Eccentric polymaths; value education highly
slate,0.08,0.10,0.15,0.20,0.20,0.14,0.08,0.05,0.65,0.30,0.05,Precise engineers; solid middle class
holly,0.02,0.03,0.05,0.10,0.14,0.25,0.23,0.18,0.80,0.15,0.05,Scholarly knowledge-keepers; strong educational tradition
yew,0.01,0.02,0.04,0.08,0.12,0.22,0.28,0.23,0.75,0.20,0.05,Ancient elite; cultural power and political connections
rowan,0.06,0.08,0.12,0.18,0.20,0.18,0.12,0.06,0.60,0.30,0.10,Curious storytellers; modest but educated backgrounds
ash,0.15,0.18,0.18,0.17,0.14,0.10,0.05,0.03,0.50,0.35,0.15,Resilient storm-walkers; hardship background but driven
baobab,0.01,0.02,0.03,0.05,0.10,0.18,0.30,0.31,0.85,0.12,0.03,Deeply rooted elites; ceremonial power and wealth
palm,0.30,0.25,0.18,0.12,0.08,0.04,0.02,0.01,0.28,0.38,0.34,Displaced survivors; hardship and poverty but resilient
