disability,mark_modifier,notes
specific_learning_disability,0.88,Affects reading/writing speed and accuracy in timed assessments
requires_personal_care,0.85,Significant practical barriers to study and assessment
blind_or_visually_impaired,0.87,Access barriers to written materials and visual assessment components
communication_difficulties,0.88,Affects participation in oral assessments and group work components
physical_disability,0.93,Practical barriers affect attendance and lab/studio assessments
mental_health_disability,0.90,Affects concentration and consistency; variable impact across semester
autistic_spectrum,0.96,Some barriers to group/social assessments; strengths in focused analytical work
adhd,0.91,Affects sustained attention and assignment completion; impacts timed exams
dyslexia,0.90,Affects reading speed and written expression in formal assessments
other_neurodivergence,0.94,Variable impact depending on specific condition
deaf_or_hearing_impaired,0.91,Barriers in lecture-based learning and oral assessment components
wheelchair_user,0.97,Minimal direct academic impact; some practical module barriers
