module_code,module_title,programme_code,programme_name,year,level,semester,final_project,assessment_type,difficulty_level,mark_modifier,social_requirements,creativity_requirements,practical_theoretical_balance,group_work_intensity,independent_study_requirement,stress_level
411101,Financial Accounting,1_1_1,Accounting & Finance,1,4,1,,Written exam,0.29,1.0315,0.3,0.62,0.52,0.71,0.4,0.38
411102,Management Accounting,1_1_1,Accounting & Finance,1,4,1,,Multi-choice exam,0.44,1.009,0.3,0.62,0.35,0.63,0.47,0.39
411103,Business Economics,1_1_1,Accounting & Finance,1,4,2,,Written exam,0.31,1.0285,0.3,0.68,0.29,0.6,0.34,0.34
411104,Quantitative Methods for Business,1_1_1,Accounting & Finance,1,4,2,,Multi-choice exam,0.44,1.009,0.83,0.6,0.56,0.8,0.39,0.49
511101,Accounting and Reporting,1_1_1,Accounting & Finance,2,5,1,,Groupwork,0.61,0.9593,0.78,0.66,0.54,0.84,0.58,0.64
511102,Taxation,1_1_1,Accounting & Finance,2,5,1,,Written coursework,0.59,0.9667,0.72,0.72,0.45,0.76,0.52,0.56
511103,Corporate Finance,1_1_1,Accounting & Finance,2,5,2,,Multi-choice exam,0.42,1.012,0.84,0.62,0.57,0.8,0.47,0.45
511104,Financial Markets & Institutions,1_1_1,Accounting & Finance,2,5,2,,Multi-choice exam,0.4,1.015,0.8,0.65,0.53,0.78,0.49,0.51
611101,Advanced Financial Reporting,1_1_1,Accounting & Finance,3,6,1,,Viva,0.7,0.926,0.74,0.65,0.54,0.73,0.69,0.67
611102,Audit & Assurance,1_1_1,Accounting & Finance,3,6,1,,Viva,0.74,0.9112,0.63,0.6,0.52,0.66,0.72,0.68
611103,Dissertation / Research Project,1_1_1,Accounting & Finance,3,6,2,1.0,Written coursework,0.95,0.8335,0.6,0.64,0.46,0.38,0.95,0.8
611104,Strategic Financial Management,1_1_1,Accounting & Finance,3,6,2,,Viva,0.77,0.9001,0.62,0.68,0.29,0.62,0.66,0.69
411201,Principles of Management,1_1_2,Business Management,1,4,1,,Written exam,0.3,1.03,0.67,0.6,0.25,0.7,0.39,0.3
411202,Introduction to Marketing,1_1_2,Business Management,1,4,1,,Written exam,0.26,1.036,0.5,0.71,0.45,0.54,0.33,0.28
411103,Business Economics,1_1_2,Business Management,1,4,2,,Written exam,0.33,1.0255,0.56,0.66,0.33,0.52,0.4,0.29
411203,Organisational Behaviour,1_1_2,Business Management,1,4,2,,Presentation,0.27,1.0345,0.83,0.69,0.44,0.79,0.29,0.3
511201,Business Operations,1_1_2,Business Management,2,5,1,,Groupwork,0.44,1.009,0.77,0.67,0.49,0.87,0.43,0.5
511202,People Resource Management,1_1_2,Business Management,2,5,1,,Written exam,0.55,0.9815,0.57,0.68,0.24,0.62,0.45,0.51
511103,Corporate Finance,1_1_2,Business Management,2,5,2,,Written coursework,0.63,0.9519,0.68,0.63,0.52,0.78,0.7,0.66
511203,Business Analytics,1_1_2,Business Management,2,5,2,,Written coursework,0.63,0.9519,0.85,0.58,0.56,0.82,0.66,0.64
611201,Strategic Management,1_1_2,Business Management,3,6,1,,Viva,0.83,0.8779,0.53,0.62,0.21,0.47,0.78,0.73
611202,Dissertation / Research Project,1_1_2,Business Management,3,6,1,1.0,Written coursework,0.94,0.8372,0.68,0.73,0.39,0.38,0.95,0.78
611203,Entrepreneurship,1_1_2,Business Management,3,6,2,,Groupwork,0.71,0.9223,0.79,0.75,0.38,0.93,0.62,0.74
611204,Business Ethics & Corporate Governance,1_1_2,Business Management,3,6,2,,Written coursework,0.62,0.9556,0.57,0.67,0.16,0.47,0.73,0.6
411301,Introduction to Entrepreneurship,1_1_3,Entrepreneurship and Trade,1,4,1,,Presentation,0.27,1.0345,0.81,0.73,0.58,0.82,0.19,0.31
411302,Marketing Fundamentals,1_1_3,Entrepreneurship and Trade,1,4,1,,Written exam,0.35,1.0225,0.64,0.65,0.22,0.6,0.28,0.34
411103,Business Economics,1_1_3,Entrepreneurship and Trade,1,4,2,,Written exam,0.33,1.0255,0.68,0.68,0.26,0.61,0.32,0.25
411202,Introduction to Marketing,1_1_3,Entrepreneurship and Trade,1,4,2,,Written coursework,0.33,1.0255,0.71,0.61,0.38,0.62,0.45,0.35
511301,New Venture Creation,1_1_3,Entrepreneurship and Trade,2,5,1,,Written exam,0.48,1.003,0.69,0.65,0.49,0.76,0.58,0.46
511302,Global Trade & Investment,1_1_3,Entrepreneurship and Trade,2,5,1,,Multi-choice exam,0.53,0.9889,0.76,0.63,0.45,0.8,0.36,0.46
511303,Supply Chain Management,1_1_3,Entrepreneurship and Trade,2,5,2,,Written coursework,0.59,0.9667,0.58,0.74,0.29,0.58,0.63,0.56
511304,Entrepreneurial Finance,1_1_3,Entrepreneurship and Trade,2,5,2,,Written coursework,0.63,0.9519,0.8,0.61,0.54,0.83,0.61,0.65
611301,Strategic Entrepreneurship,1_1_3,Entrepreneurship and Trade,3,6,1,,Written coursework,0.75,0.9075,0.9,0.65,0.42,0.8,0.78,0.74
611302,Dissertation / Research Project,1_1_3,Entrepreneurship and Trade,3,6,1,1.0,Written coursework,0.95,0.8335,0.6,0.68,0.54,0.38,0.95,0.79
611303,Innovation Management,1_1_3,Entrepreneurship and Trade,3,6,2,,Written coursework,0.61,0.9593,0.63,0.71,0.18,0.64,0.64,0.64
611304,Emerging Markets & Trade Policy,1_1_3,Entrepreneurship and Trade,3,6,2,,Viva,0.8,0.889,0.7,0.69,0.16,0.66,0.8,0.76
411401,Introduction to Hospitality & Tourism,1_1_4,Hospitality and Tourism Management,1,4,1,,Written coursework,0.34,1.024,0.81,0.6,0.62,0.74,0.26,0.35
411402,Customer Experience Management,1_1_4,Hospitality and Tourism Management,1,4,1,,Multi-choice exam,0.42,1.012,0.74,0.56,0.41,0.6,0.41,0.38
411302,Marketing Fundamentals,1_1_4,Hospitality and Tourism Management,1,4,2,,Written coursework,0.42,1.012,0.74,0.69,0.21,0.54,0.29,0.37
411403,Business Operations,1_1_4,Hospitality and Tourism Management,1,4,2,,Groupwork,0.19,1.0465,0.8,0.65,0.54,0.85,0.24,0.21
511401,Hospitality Operations Management,1_1_4,Hospitality and Tourism Management,2,5,1,,Written exam,0.56,0.9778,0.64,0.71,0.1,0.61,0.53,0.53
511402,Tourism Planning & Development,1_1_4,Hospitality and Tourism Management,2,5,1,,Written coursework,0.33,1.0255,0.76,0.71,0.51,0.83,0.49,0.46
511403,Revenue & Yield Management,1_1_4,Hospitality and Tourism Management,2,5,2,,Written exam,0.53,0.9889,0.57,0.76,0.12,0.6,0.48,0.5
511404,Events Management,1_1_4,Hospitality and Tourism Management,2,5,2,,Multi-choice exam,0.52,0.9926,0.65,0.62,0.26,0.61,0.4,0.43
611401,Strategic Hospitality Management,1_1_4,Hospitality and Tourism Management,3,6,1,,Viva,0.74,0.9112,0.56,0.66,0.31,0.64,0.8,0.77
611402,Sustainable Tourism,1_1_4,Hospitality and Tourism Management,3,6,1,,Viva,0.72,0.9186,0.57,0.61,0.55,0.86,0.81,0.76
611403,Dissertation / Research Project,1_1_4,Hospitality and Tourism Management,3,6,2,1.0,Written coursework,0.93,0.8409,0.57,0.76,0.42,0.38,0.92,0.81
611404,Hospitality Entrepreneurship,1_1_4,Hospitality and Tourism Management,3,6,2,,Groupwork,0.71,0.9223,0.79,0.6,0.65,0.88,0.72,0.7
