programme_code,programme_name,faculty_code,faculty,department_code,department,social_intensity,practical_theoretical_balance,stress_level,career_prospects,academic_difficulty,creativity_requirement,leadership_opportunities,research_intensity,community_engagement,innovation_focus
1_1_1,Accounting & Finance,1,Business & Law School,1_1,Business,0.62,0.47,0.67,0.61,0.68,0.63,0.62,0.65,0.61,0.58
1_1_2,Business Management,1,Business & Law School,1_1,Business,0.69,0.4,0.63,0.61,0.61,0.7,0.66,0.72,0.66,0.67
1_1_3,Entrepreneurship and Trade,1,Business & Law School,1_1,Business,0.73,0.4,0.56,0.6,0.65,0.66,0.72,0.75,0.7,0.64
1_1_4,Hospitality and Tourism Management,1,Business & Law School,1_1,Business,0.71,0.39,0.55,0.65,0.55,0.68,0.69,0.75,0.66,0.67
1_1_5,Person Resource Management,1,Business & Law School,1_1,Business,0.67,0.35,0.5,0.61,0.53,0.7,0.64,0.69,0.66,0.69
1_2_1,Law,1,Business & Law School,1_2,Law,0.61,0.31,0.68,0.52,0.82,0.66,0.6,0.89,0.59,0.58
2_1_1,Architecture,2,"Craft, Art & Architecture",2_1,Architecture,0.65,0.59,0.7,0.71,0.67,0.82,0.57,0.65,0.65,0.77
2_2_2,Cyanophotography and Printmaking,2,"Craft, Art & Architecture",2_2,Art,0.73,0.69,0.5,0.71,0.47,0.84,0.55,0.47,0.72,0.79
2_2_3,Fine Art,2,"Craft, Art & Architecture",2_2,Art,0.63,0.63,0.6,0.73,0.53,0.81,0.59,0.53,0.71,0.75
2_2_4,Illustration,2,"Craft, Art & Architecture",2_2,Art,0.69,0.7,0.54,0.73,0.54,0.79,0.55,0.52,0.74,0.75
2_2_5,Media Studies,2,"Craft, Art & Architecture",2_2,Art,0.67,0.56,0.6,0.72,0.6,0.84,0.54,0.52,0.72,0.83
2_2_6,Music,2,"Craft, Art & Architecture",2_2,Art,0.7,0.58,0.48,0.66,0.42,0.72,0.48,0.47,0.77,0.68
2_3_7,Artefact Restoration,2,"Craft, Art & Architecture",2_3,Craft,0.69,0.66,0.6,0.76,0.53,0.82,0.53,0.44,0.74,0.8
2_3_8,Brewcraft and Fermentation Systems,2,"Craft, Art & Architecture",2_3,Craft,0.63,0.63,0.72,0.81,0.65,0.78,0.44,0.61,0.72,0.81
2_3_9,Precision Smithing and Design,2,"Craft, Art & Architecture",2_3,Craft,0.65,0.7,0.31,0.69,0.28,0.84,0.46,0.36,0.67,0.78
2_4_10,Fashion Design,2,"Craft, Art & Architecture",2_4,Design,0.68,0.57,0.49,0.77,0.54,0.82,0.44,0.54,0.72,0.87
2_4_11,Graphic Design,2,"Craft, Art & Architecture",2_4,Design,0.63,0.69,0.55,0.61,0.36,0.7,0.55,0.35,0.7,0.72
2_4_12,Space Design,2,"Craft, Art & Architecture",2_4,Design,0.66,0.69,0.66,0.76,0.58,0.8,0.59,0.55,0.73,0.75
3_1_1,Geography,3,Culture & Social Sciences,3_1,Geography,0.62,0.47,0.54,0.64,0.46,0.68,0.5,0.52,0.67,0.64
3_2_2,History,3,Culture & Social Sciences,3_2,History,0.56,0.3,0.67,0.54,0.75,0.78,0.52,0.86,0.62,0.66
3_3_3,Languages and Literature,3,Culture & Social Sciences,3_3,Languages,0.61,0.4,0.56,0.63,0.64,0.74,0.48,0.74,0.71,0.66
