programme_characteristic,student_trait,weight
social_intensity,refined_extraversion,0.4
social_intensity,motivation_social_connection,0.3
practical_theoretical_balance,motivation_practical_skills,0.3
academic_difficulty,motivation_academic_drive,0.3
academic_difficulty,refined_conscientiousness,0.2
creativity_requirement,refined_openness,0.4
creativity_requirement,motivation_intellectual_curiosity,0.2
leadership_opportunities,refined_extraversion,0.2
research_intensity,motivation_intellectual_curiosity,0.3
research_intensity,motivation_academic_drive,0.2
community_engagement,motivation_values_based_motivation,0.3
community_engagement,refined_agreeableness,0.2
innovation_focus,refined_openness,0.3
innovation_focus,motivation_intellectual_curiosity,0.2
career_prospects,motivation_career_focus,0.3
stress_level,refined_neuroticism,-0.3
stress_level,refined_resilience,0.2
