module_code,module_title,programme_code,module_year,semester,assessment_type,difficulty_level,social_requirements,creativity_requirements,practical_theoretical_balance,stress_level,group_work_intensity,independent_study_requirement
452401,Introduction to Contemporary Arcane-Technics,5_2_4,1,1,Practical exam,0.4,0.69,0.62,0.75,0.42,0.8,0.41
442404,Preparation & Safety in Herbal Practice,4_2_7,1,2,Groupwork,0.43,0.84,0.67,0.76,0.49,0.85,0.47
442701,Foundations of Nursing Practice,4_2_7,1,1,Presentation,0.33,0.79,0.67,0.79,0.33,0.65,0.35
442602,Anatomy & Physiology of Birth,4_2_7,1,1,Written coursework,0.27,0.89,0.64,0.74,0.31,0.78,0.31
442503,Introduction to Somatic Practice,4_2_7,1,2,Written coursework,0.26,0.75,0.55,0.88,0.37,0.71,0.19
453901,General Chemistry Principles,5_3_9,1,1,Practical exam,0.5,0.61,0.63,0.81,0.47,0.81,0.41
453703,Ecology & Ecosystems,5_3_9,1,2,Groupwork,0.31,0.84,0.56,0.89,0.34,0.86,0.34
453802,Cellular Pathology,5_3_9,1,1,Practical exam,0.26,0.55,0.53,0.87,0.31,0.8,0.25
4531201,Classical Mechanics,5_3_12,1,1,Written coursework,0.28,0.49,0.61,0.7,0.3,0.81,0.42
4531102,Discrete Mathematics,5_3_12,1,1,Practical exam,0.47,0.38,0.64,0.76,0.43,0.67,0.37
4531003,Environmental Chemistry,5_3_12,1,2,Written coursework,0.32,0.72,0.66,0.71,0.36,0.81,0.26
453904,Practical Laboratory Techniques,5_3_12,1,2,Practical exam,0.23,0.61,0.55,0.95,0.21,0.52,0.25
442502,Anatomy & Physiology,4_2_6,1,1,Practical exam,0.38,0.75,0.63,0.76,0.41,0.82,0.48
442403,Foundations of Vital Energies,4_2_6,1,2,Professional artefact,0.45,0.74,0.76,0.68,0.44,0.77,0.34
442601,Foundations of Midwifery Care,4_2_6,1,1,Written coursework,0.24,0.72,0.66,0.82,0.31,0.81,0.28
434601,Introduction to Ceremonial Practice,3_4_6,1,1,Groupwork,0.36,0.97,0.69,0.64,0.43,0.93,0.3
4421002,Foundations of Physiotherapy,4_2_11,1,1,Practical exam,0.32,0.71,0.57,0.81,0.32,0.78,0.39
442604,Professional Practice & Ethics,4_2_11,1,2,Written coursework,0.35,0.65,0.67,0.51,0.32,0.61,0.33
442903,Pharmaceutical Chemistry,4_2_11,1,2,Practical exam,0.27,0.53,0.65,0.75,0.31,0.79,0.27
4421101,Introduction to Social Work,4_2_11,1,1,Practical exam,0.29,0.71,0.61,0.83,0.21,0.74,0.22
433301,Language Skills I,3_3_3,1,1,Written coursework,0.33,0.74,0.66,0.63,0.24,0.51,0.23
422403,Visual Communication,2_2_4,1,2,Professional artefact,0.43,0.73,0.75,0.81,0.37,0.67,0.42
422404,Digital Skills for Illustrators,2_2_4,1,2,Professional artefact,0.38,0.38,0.73,0.92,0.38,0.59,0.36
422401,Introduction to Illustration,2_2_4,1,1,Written coursework,0.33,0.75,0.71,0.76,0.39,0.72,0.34
422402,Drawing & Image-Making,2_2_4,1,1,Professional artefact,0.27,0.38,0.77,0.95,0.26,0.58,0.28
441101,Foundations of Education,4_1_1,1,1,Professional artefact,0.24,0.67,0.79,0.66,0.28,0.78,0.37
4361401,Introduction to Psychology,3_6_14,1,1,Written exam,0.41,0.65,0.82,0.21,0.38,0.51,0.5
433303,Grammar & Linguistics,3_3_5,1,2,Written exam,0.23,0.38,0.72,0.32,0.25,0.7,0.24
433501,Introduction to Multispecies Communication,3_3_5,1,1,Groupwork,0.4,1.0,0.7,0.55,0.44,0.86,0.21
