student_id,academic_year,module_code,component_code,assessment_mark,assessment_date,assessment_weight
0,1046-47,452401,MIDTERM,71.2,1046-11-01,0.5
0,1046-47,452401,FINAL,36.9,1046-12-15,0.5
1,1046-47,452601,MIDTERM,80.9,1046-11-01,0.5
1,1046-47,452601,FINAL,78.5,1046-12-15,0.5
1,1046-47,452502,MIDTERM,80.9,1046-11-01,0.5
1,1046-47,452502,FINAL,67.2,1046-12-15,0.5
1,1046-47,452403,MIDTERM,83.1,1047-03-15,0.5
1,1046-47,452403,FINAL,78.3,1047-05-15,0.5
2,1046-47,422403,MIDTERM,71.0,1047-03-15,0.5
2,1046-47,422403,FINAL,61.2,1047-05-15,0.5
2,1046-47,422404,MIDTERM,64.2,1047-03-15,0.5
2,1046-47,422404,FINAL,65.1,1047-05-15,0.5
2,1046-47,422401,MIDTERM,45.5,1046-11-01,0.5
2,1046-47,422401,FINAL,64.0,1046-12-15,0.5
2,1046-47,422402,MIDTERM,71.8,1046-11-01,0.5
2,1046-47,422402,FINAL,63.2,1046-12-15,0.5
3,1046-47,453701,MIDTERM,56.2,1046-11-01,0.5
3,1046-47,453701,FINAL,41.7,1046-12-15,0.5
4,1046-47,434801,MIDTERM,47.5,1046-11-01,0.5
4,1046-47,434801,FINAL,52.6,1046-12-15,0.5
4,1046-47,434702,MIDTERM,51.8,1046-11-01,0.5
4,1046-47,434702,FINAL,63.0,1046-12-15,0.5
4,1046-47,434603,MIDTERM,56.1,1047-03-15,0.5
4,1046-47,434603,FINAL,40.6,1047-05-15,0.5
5,1046-47,434801,MIDTERM,81.6,1046-11-01,0.5
5,1046-47,434801,FINAL,72.0,1046-12-15,0.5
5,1046-47,434702,MIDTERM,74.7,1046-11-01,0.5
5,1046-47,434702,FINAL,69.7,1046-12-15,0.5
5,1046-47,434603,MIDTERM,98.1,1047-03-15,0.5
5,1046-47,434603,FINAL,84.3,1047-05-15,0.5
6,1046-47,422201,MIDTERM,73.4,1046-11-01,0.5
6,1046-47,422201,FINAL,52.5,1046-12-15,0.5
6,1046-47,422204,MIDTERM,68.9,1047-03-15,0.5
6,1046-47,422204,FINAL,80.4,1047-05-15,0.5
6,1046-47,422202,MIDTERM,97.6,1046-11-01,0.5
6,1046-47,422202,FINAL,66.5,1046-12-15,0.5
6,1046-47,422203,MIDTERM,62.0,1047-03-15,0.5
6,1046-47,422203,FINAL,65.2,1047-05-15,0.5
7,1046-47,452501,MIDTERM,68.7,1046-11-01,0.5
7,1046-47,452501,FINAL,66.5,1046-12-15,0.5
7,1046-47,452402,MIDTERM,62.0,1046-11-01,0.5
7,1046-47,452402,FINAL,67.1,1046-12-15,0.5
8,1046-47,441103,MIDTERM,55.5,1047-03-15,0.5
8,1046-47,441103,FINAL,41.1,1047-05-15,0.5
8,1046-47,441301,MIDTERM,58.8,1046-11-01,0.5
8,1046-47,441301,FINAL,75.4,1046-12-15,0.5
8,1046-47,441202,MIDTERM,99.6,1046-11-01,0.5
8,1046-47,441202,FINAL,51.7,1046-12-15,0.5
9,1046-47,452601,MIDTERM,47.7,1046-11-01,0.5
9,1046-47,452601,FINAL,62.5,1046-12-15,0.5
9,1046-47,452502,MIDTERM,39.7,1046-11-01,0.5
9,1046-47,452502,FINAL,64.4,1046-12-15,0.5
9,1046-47,452403,MIDTERM,71.9,1047-03-15,0.5
9,1046-47,452403,FINAL,44.5,1047-05-15,0.5
10,1046-47,441103,MIDTERM,45.3,1047-03-15,0.5
10,1046-47,441103,FINAL,54.2,1047-05-15,0.5
10,1046-47,441301,MIDTERM,41.4,1046-11-01,0.5
10,1046-47,441301,FINAL,36.4,1046-12-15,0.5
10,1046-47,441202,MIDTERM,44.0,1046-11-01,0.5
10,1046-47,441202,FINAL,35.5,1046-12-15,0.5
11,1046-47,435902,MIDTERM,72.8,1046-11-01,0.5
11,1046-47,435902,FINAL,84.1,1046-12-15,0.5
11,1046-47,4351001,MIDTERM,54.8,1046-11-01,0.5
11,1046-47,4351001,FINAL,89.0,1046-12-15,0.5
12,1046-47,435902,MIDTERM,69.1,1046-11-01,0.5
12,1046-47,435902,FINAL,65.8,1046-12-15,0.5
12,1046-47,4351001,MIDTERM,63.2,1046-11-01,0.5
12,1046-47,4351001,FINAL,66.8,1046-12-15,0.5
13,1046-47,452401,MIDTERM,69.0,1046-11-01,0.5
13,1046-47,452401,FINAL,63.4,1046-12-15,0.5
14,1046-47,435902,MIDTERM,74.2,1046-11-01,0.5
14,1046-47,435902,FINAL,67.6,1046-12-15,0.5
14,1046-47,4351001,MIDTERM,78.4,1046-11-01,0.5
14,1046-47,4351001,FINAL,44.7,1046-12-15,0.5
15,1046-47,422403,MIDTERM,73.5,1047-03-15,0.5
15,1046-47,422403,FINAL,71.9,1047-05-15,0.5
15,1046-47,422404,MIDTERM,69.3,1047-03-15,0.5
15,1046-47,422404,FINAL,73.2,1047-05-15,0.5
15,1046-47,422401,MIDTERM,77.2,1046-11-01,0.5
15,1046-47,422401,FINAL,71.0,1046-12-15,0.5
15,1046-47,422402,MIDTERM,61.0,1046-11-01,0.5
15,1046-47,422402,FINAL,46.3,1046-12-15,0.5
16,1046-47,434701,MIDTERM,50.0,1046-11-01,0.5
16,1046-47,434701,FINAL,97.5,1046-12-15,0.5
16,1046-47,434602,MIDTERM,79.6,1046-11-01,0.5
16,1046-47,434602,FINAL,69.5,1046-12-15,0.5
17,1046-47,4421201,MIDTERM,70.2,1046-11-01,0.5
17,1046-47,4421201,FINAL,71.2,1046-12-15,0.5
17,1046-47,4421102,MIDTERM,69.9,1046-11-01,0.5
17,1046-47,4421102,FINAL,76.9,1046-12-15,0.5
17,1046-47,4421003,MIDTERM,70.5,1047-03-15,0.5
17,1046-47,4421003,FINAL,83.9,1047-05-15,0.5
17,1046-47,442904,MIDTERM,73.4,1047-03-15,0.5
17,1046-47,442904,FINAL,70.8,1047-05-15,0.5
18,1046-47,411103,MIDTERM,100.0,1047-03-15,0.5
18,1046-47,411103,FINAL,89.7,1047-05-15,0.5
18,1046-47,411201,MIDTERM,52.9,1046-11-01,0.5
18,1046-47,411201,FINAL,74.3,1046-12-15,0.5
18,1046-47,411202,MIDTERM,85.3,1047-03-15,0.5
18,1046-47,411202,FINAL,75.9,1047-05-15,0.5
18,1046-47,411203,MIDTERM,63.4,1046-11-01,0.5
18,1046-47,411203,FINAL,87.0,1046-12-15,0.5
19,1046-47,441103,MIDTERM,41.6,1047-03-15,0.5
19,1046-47,441103,FINAL,49.1,1047-05-15,0.5
19,1046-47,441301,MIDTERM,50.6,1046-11-01,0.5
19,1046-47,441301,FINAL,56.1,1046-12-15,0.5
19,1046-47,441202,MIDTERM,55.0,1046-11-01,0.5
19,1046-47,441202,FINAL,45.5,1046-12-15,0.5
20,1046-47,432201,MIDTERM,76.3,1046-11-01,0.5
20,1046-47,432201,FINAL,94.3,1046-12-15,0.5
20,1046-47,432204,MIDTERM,47.7,1047-03-15,0.5
20,1046-47,432204,FINAL,100.0,1047-05-15,0.5
20,1046-47,432202,MIDTERM,83.6,1046-11-01,0.5
20,1046-47,432202,FINAL,68.2,1046-12-15,0.5
20,1046-47,432203,MIDTERM,69.8,1047-03-15,0.5
20,1046-47,432203,FINAL,78.3,1047-05-15,0.5
21,1046-47,433303,MIDTERM,52.5,1047-03-15,0.5
21,1046-47,433303,FINAL,67.9,1047-05-15,0.5
21,1046-47,433501,MIDTERM,80.9,1046-11-01,0.5
21,1046-47,433501,FINAL,87.4,1046-12-15,0.5
22,1046-47,4241202,MIDTERM,65.2,1046-11-01,0.5
22,1046-47,4241202,FINAL,55.8,1046-12-15,0.5
22,1046-47,4241204,MIDTERM,31.1,1047-03-15,0.5
22,1046-47,4241204,FINAL,61.7,1047-05-15,0.5
22,1046-47,4241201,MIDTERM,72.3,1046-11-01,0.5
22,1046-47,4241201,FINAL,53.2,1046-12-15,0.5
22,1046-47,4241203,MIDTERM,70.9,1047-03-15,0.5
22,1046-47,4241203,FINAL,65.1,1047-05-15,0.5
23,1046-47,442401,MIDTERM,72.4,1046-11-01,0.5
23,1046-47,442401,FINAL,49.8,1046-12-15,0.5
24,1046-47,453901,MIDTERM,80.2,1046-11-01,0.5
24,1046-47,453901,FINAL,50.7,1046-12-15,0.5
24,1046-47,453703,MIDTERM,83.7,1047-03-15,0.5
24,1046-47,453703,FINAL,48.6,1047-05-15,0.5
24,1046-47,453802,MIDTERM,80.6,1046-11-01,0.5
24,1046-47,453802,FINAL,74.3,1046-12-15,0.5
25,1046-47,433303,MIDTERM,51.4,1047-03-15,0.5
25,1046-47,433303,FINAL,55.2,1047-05-15,0.5
25,1046-47,433501,MIDTERM,34.1,1046-11-01,0.5
25,1046-47,433501,FINAL,63.5,1046-12-15,0.5
26,1046-47,435901,MIDTERM,50.8,1046-11-01,0.5
26,1046-47,435901,FINAL,79.2,1046-12-15,0.5
27,1046-47,441103,MIDTERM,46.4,1047-03-15,0.5
27,1046-47,441103,FINAL,62.7,1047-05-15,0.5
27,1046-47,441301,MIDTERM,70.6,1046-11-01,0.5
27,1046-47,441301,FINAL,49.3,1046-12-15,0.5
27,1046-47,441202,MIDTERM,29.6,1046-11-01,0.5
27,1046-47,441202,FINAL,46.8,1046-12-15,0.5
28,1046-47,4351101,MIDTERM,63.2,1046-11-01,0.5
28,1046-47,4351101,FINAL,70.5,1046-12-15,0.5
28,1046-47,4351002,MIDTERM,54.3,1046-11-01,0.5
28,1046-47,4351002,FINAL,72.4,1046-12-15,0.5
28,1046-47,435903,MIDTERM,73.2,1047-03-15,0.5
28,1046-47,435903,FINAL,62.1,1047-05-15,0.5
29,1046-47,441101,MIDTERM,58.7,1046-11-01,0.5
29,1046-47,441101,FINAL,62.6,1046-12-15,0.5
30,1046-47,441201,MIDTERM,47.3,1046-11-01,0.5
30,1046-47,441201,FINAL,80.0,1046-12-15,0.5
30,1046-47,441102,MIDTERM,65.5,1046-11-01,0.5
30,1046-47,441102,FINAL,90.5,1046-12-15,0.5
31,1046-47,442402,MIDTERM,49.2,1046-11-01,0.5
31,1046-47,442402,FINAL,59.3,1046-12-15,0.5
31,1046-47,442501,MIDTERM,55.7,1046-11-01,0.5
31,1046-47,442501,FINAL,33.7,1046-12-15,0.5
32,1046-47,434701,MIDTERM,92.3,1046-11-01,0.5
32,1046-47,434701,FINAL,85.2,1046-12-15,0.5
32,1046-47,434602,MIDTERM,95.4,1046-11-01,0.5
32,1046-47,434602,FINAL,77.8,1046-12-15,0.5
33,1046-47,422604,MIDTERM,57.6,1047-03-15,0.5
33,1046-47,422604,FINAL,58.7,1047-05-15,0.5
33,1046-47,422603,MIDTERM,29.4,1047-03-15,0.5
33,1046-47,422603,FINAL,66.2,1047-05-15,0.5
33,1046-47,422602,MIDTERM,52.1,1046-11-01,0.5
33,1046-47,422602,FINAL,56.9,1046-12-15,0.5
33,1046-47,422601,MIDTERM,61.7,1046-11-01,0.5
33,1046-47,422601,FINAL,70.8,1046-12-15,0.5
34,1046-47,434801,MIDTERM,50.4,1046-11-01,0.5
34,1046-47,434801,FINAL,56.0,1046-12-15,0.5
34,1046-47,434702,MIDTERM,51.4,1046-11-01,0.5
34,1046-47,434702,FINAL,41.8,1046-12-15,0.5
34,1046-47,434603,MIDTERM,34.0,1047-03-15,0.5
34,1046-47,434603,FINAL,52.3,1047-05-15,0.5
35,1046-47,452501,MIDTERM,45.4,1046-11-01,0.5
35,1046-47,452501,FINAL,76.2,1046-12-15,0.5
35,1046-47,452402,MIDTERM,62.8,1046-11-01,0.5
35,1046-47,452402,FINAL,72.8,1046-12-15,0.5
36,1046-47,4241202,MIDTERM,86.7,1046-11-01,0.5
36,1046-47,4241202,FINAL,46.7,1046-12-15,0.5
36,1046-47,4241204,MIDTERM,50.2,1047-03-15,0.5
36,1046-47,4241204,FINAL,56.9,1047-05-15,0.5
36,1046-47,4241201,MIDTERM,67.4,1046-11-01,0.5
36,1046-47,4241201,FINAL,76.1,1046-12-15,0.5
36,1046-47,4241203,MIDTERM,62.0,1047-03-15,0.5
36,1046-47,4241203,FINAL,52.3,1047-05-15,0.5
37,1046-47,4361501,MIDTERM,51.1,1046-11-01,0.5
37,1046-47,4361501,FINAL,61.9,1046-12-15,0.5
37,1046-47,4361402,MIDTERM,61.2,1046-11-01,0.5
37,1046-47,4361402,FINAL,34.6,1046-12-15,0.5
38,1046-47,412101,MIDTERM,89.2,1046-11-01,0.5
38,1046-47,412101,FINAL,85.6,1046-12-15,0.5
38,1046-47,412102,MIDTERM,69.3,1046-11-01,0.5
38,1046-47,412102,FINAL,83.6,1046-12-15,0.5
38,1046-47,412103,MIDTERM,68.8,1047-03-15,0.5
38,1046-47,412103,FINAL,50.9,1047-05-15,0.5
38,1046-47,412104,MIDTERM,73.5,1047-03-15,0.5
38,1046-47,412104,FINAL,69.3,1047-05-15,0.5
39,1046-47,442401,MIDTERM,83.4,1046-11-01,0.5
39,1046-47,442401,FINAL,61.4,1046-12-15,0.5
40,1046-47,434701,MIDTERM,90.9,1046-11-01,0.5
40,1046-47,434701,FINAL,99.1,1046-12-15,0.5
40,1046-47,434602,MIDTERM,86.2,1046-11-01,0.5
40,1046-47,434602,FINAL,74.4,1046-12-15,0.5
41,1046-47,423701,MIDTERM,35.1,1046-11-01,0.5
41,1046-47,423701,FINAL,22.1,1046-12-15,0.5
41,1046-47,423703,MIDTERM,51.2,1047-03-15,0.5
41,1046-47,423703,FINAL,36.2,1047-05-15,0.5
41,1046-47,423702,MIDTERM,25.5,1046-11-01,0.5
41,1046-47,423702,FINAL,35.1,1046-12-15,0.5
41,1046-47,423704,MIDTERM,28.7,1047-03-15,0.5
41,1046-47,423704,FINAL,33.2,1047-05-15,0.5
42,1046-47,442801,MIDTERM,54.8,1046-11-01,0.5
42,1046-47,442801,FINAL,54.5,1046-12-15,0.5
42,1046-47,442502,MIDTERM,46.6,1046-11-01,0.5
42,1046-47,442502,FINAL,56.2,1046-12-15,0.5
42,1046-47,442603,MIDTERM,31.8,1047-03-15,0.5
42,1046-47,442603,FINAL,40.4,1047-05-15,0.5
42,1046-47,442504,MIDTERM,50.0,1047-03-15,0.5
42,1046-47,442504,FINAL,68.3,1047-05-15,0.5
43,1046-47,4531001,MIDTERM,56.0,1046-11-01,0.5
43,1046-47,4531001,FINAL,84.9,1046-12-15,0.5
43,1046-47,453704,MIDTERM,81.4,1047-03-15,0.5
43,1046-47,453704,FINAL,70.5,1047-05-15,0.5
43,1046-47,453803,MIDTERM,74.4,1047-03-15,0.5
43,1046-47,453803,FINAL,78.2,1047-05-15,0.5
43,1046-47,453902,MIDTERM,61.1,1046-11-01,0.5
43,1046-47,453902,FINAL,60.1,1046-12-15,0.5
44,1046-47,431104,MIDTERM,28.5,1047-03-15,0.5
44,1046-47,431104,FINAL,38.3,1047-05-15,0.5
44,1046-47,431103,MIDTERM,37.4,1047-03-15,0.5
44,1046-47,431103,FINAL,45.3,1047-05-15,0.5
44,1046-47,431101,MIDTERM,47.1,1046-11-01,0.5
44,1046-47,431101,FINAL,48.3,1046-12-15,0.5
44,1046-47,431102,MIDTERM,32.7,1046-11-01,0.5
44,1046-47,431102,FINAL,39.2,1046-12-15,0.5
45,1046-47,421104,MIDTERM,85.0,1047-03-15,0.5
45,1046-47,421104,FINAL,44.3,1047-05-15,0.5
45,1046-47,421102,MIDTERM,90.2,1046-11-01,0.5
45,1046-47,421102,FINAL,35.9,1046-12-15,0.5
45,1046-47,421103,MIDTERM,94.6,1047-03-15,0.5
45,1046-47,421103,FINAL,76.6,1047-05-15,0.5
45,1046-47,421101,MIDTERM,73.7,1046-11-01,0.5
45,1046-47,421101,FINAL,89.4,1046-12-15,0.5
46,1046-47,423701,MIDTERM,51.2,1046-11-01,0.5
46,1046-47,423701,FINAL,75.0,1046-12-15,0.5
46,1046-47,423703,MIDTERM,77.8,1047-03-15,0.5
46,1046-47,423703,FINAL,50.1,1047-05-15,0.5
46,1046-47,423702,MIDTERM,58.8,1046-11-01,0.5
46,1046-47,423702,FINAL,77.2,1046-12-15,0.5
46,1046-47,423704,MIDTERM,75.5,1047-03-15,0.5
46,1046-47,423704,FINAL,61.9,1047-05-15,0.5
47,1046-47,451201,MIDTERM,41.4,1046-11-01,0.5
47,1046-47,451201,FINAL,80.8,1046-12-15,0.5
48,1046-47,4241004,MIDTERM,72.4,1047-03-15,0.5
48,1046-47,4241004,FINAL,65.5,1047-05-15,0.5
48,1046-47,4241001,MIDTERM,61.3,1046-11-01,0.5
48,1046-47,4241001,FINAL,96.9,1046-12-15,0.5
48,1046-47,4241003,MIDTERM,78.5,1047-03-15,0.5
48,1046-47,4241003,FINAL,64.3,1047-05-15,0.5
48,1046-47,4241002,MIDTERM,65.3,1046-11-01,0.5
48,1046-47,4241002,FINAL,57.0,1046-12-15,0.5
49,1046-47,422503,MIDTERM,80.3,1047-03-15,0.5
49,1046-47,422503,FINAL,53.4,1047-05-15,0.5
49,1046-47,422502,MIDTERM,75.7,1046-11-01,0.5
49,1046-47,422502,FINAL,59.0,1046-12-15,0.5
49,1046-47,422504,MIDTERM,68.4,1047-03-15,0.5
49,1046-47,422504,FINAL,84.2,1047-05-15,0.5
49,1046-47,422501,MIDTERM,67.9,1046-11-01,0.5
49,1046-47,422501,FINAL,64.3,1046-12-15,0.5
50,1046-47,442801,MIDTERM,62.4,1046-11-01,0.5
50,1046-47,442801,FINAL,44.4,1046-12-15,0.5
50,1046-47,442502,MIDTERM,63.5,1046-11-01,0.5
50,1046-47,442502,FINAL,84.9,1046-12-15,0.5
50,1046-47,442603,MIDTERM,51.4,1047-03-15,0.5
50,1046-47,442603,FINAL,79.7,1047-05-15,0.5
50,1046-47,442504,MIDTERM,81.1,1047-03-15,0.5
50,1046-47,442504,FINAL,74.0,1047-05-15,0.5
51,1046-47,435901,MIDTERM,64.5,1046-11-01,0.5
51,1046-47,435901,FINAL,46.2,1046-12-15,0.5
52,1046-47,434801,MIDTERM,49.3,1046-11-01,0.5
52,1046-47,434801,FINAL,70.5,1046-12-15,0.5
52,1046-47,434702,MIDTERM,60.8,1046-11-01,0.5
52,1046-47,434702,FINAL,32.5,1046-12-15,0.5
52,1046-47,434603,MIDTERM,83.5,1047-03-15,0.5
52,1046-47,434603,FINAL,55.4,1047-05-15,0.5
53,1046-47,453901,MIDTERM,51.9,1046-11-01,0.5
53,1046-47,453901,FINAL,55.9,1046-12-15,0.5
53,1046-47,453703,MIDTERM,38.8,1047-03-15,0.5
53,1046-47,453703,FINAL,51.5,1047-05-15,0.5
53,1046-47,453802,MIDTERM,42.0,1046-11-01,0.5
53,1046-47,453802,FINAL,31.1,1046-12-15,0.5
54,1046-47,4361501,MIDTERM,58.3,1046-11-01,0.5
54,1046-47,4361501,FINAL,85.6,1046-12-15,0.5
54,1046-47,4361402,MIDTERM,74.1,1046-11-01,0.5
54,1046-47,4361402,FINAL,44.2,1046-12-15,0.5
55,1046-47,4241004,MIDTERM,54.8,1047-03-15,0.5
55,1046-47,4241004,FINAL,90.2,1047-05-15,0.5
55,1046-47,4241001,MIDTERM,72.3,1046-11-01,0.5
55,1046-47,4241001,FINAL,62.3,1046-12-15,0.5
55,1046-47,4241003,MIDTERM,74.6,1047-03-15,0.5
55,1046-47,4241003,FINAL,83.1,1047-05-15,0.5
55,1046-47,4241002,MIDTERM,42.8,1046-11-01,0.5
55,1046-47,4241002,FINAL,49.5,1046-12-15,0.5
56,1046-47,423701,MIDTERM,49.4,1046-11-01,0.5
56,1046-47,423701,FINAL,84.9,1046-12-15,0.5
56,1046-47,423703,MIDTERM,66.0,1047-03-15,0.5
56,1046-47,423703,FINAL,78.3,1047-05-15,0.5
56,1046-47,423702,MIDTERM,57.1,1046-11-01,0.5
56,1046-47,423702,FINAL,72.1,1046-12-15,0.5
56,1046-47,423704,MIDTERM,73.0,1047-03-15,0.5
56,1046-47,423704,FINAL,79.6,1047-05-15,0.5
57,1046-47,441103,MIDTERM,40.3,1047-03-15,0.5
57,1046-47,441103,FINAL,37.8,1047-05-15,0.5
57,1046-47,441301,MIDTERM,49.0,1046-11-01,0.5
57,1046-47,441301,FINAL,58.5,1046-12-15,0.5
57,1046-47,441202,MIDTERM,55.4,1046-11-01,0.5
57,1046-47,441202,FINAL,49.2,1046-12-15,0.5
58,1046-47,453701,MIDTERM,69.8,1046-11-01,0.5
58,1046-47,453701,FINAL,73.0,1046-12-15,0.5
59,1046-47,422503,MIDTERM,48.1,1047-03-15,0.5
59,1046-47,422503,FINAL,48.7,1047-05-15,0.5
59,1046-47,422502,MIDTERM,66.8,1046-11-01,0.5
59,1046-47,422502,FINAL,55.0,1046-12-15,0.5
59,1046-47,422504,MIDTERM,56.8,1047-03-15,0.5
59,1046-47,422504,FINAL,59.5,1047-05-15,0.5
59,1046-47,422501,MIDTERM,33.5,1046-11-01,0.5
59,1046-47,422501,FINAL,69.4,1046-12-15,0.5
60,1046-47,4361501,MIDTERM,72.0,1046-11-01,0.5
60,1046-47,4361501,FINAL,72.4,1046-12-15,0.5
60,1046-47,4361402,MIDTERM,52.6,1046-11-01,0.5
60,1046-47,4361402,FINAL,61.8,1046-12-15,0.5
61,1046-47,441201,MIDTERM,59.7,1046-11-01,0.5
61,1046-47,441201,FINAL,53.6,1046-12-15,0.5
61,1046-47,441102,MIDTERM,44.7,1046-11-01,0.5
61,1046-47,441102,FINAL,49.6,1046-12-15,0.5
62,1046-47,422304,MIDTERM,49.3,1047-03-15,0.5
62,1046-47,422304,FINAL,53.3,1047-05-15,0.5
62,1046-47,422303,MIDTERM,33.4,1047-03-15,0.5
62,1046-47,422303,FINAL,50.1,1047-05-15,0.5
62,1046-47,422301,MIDTERM,57.0,1046-11-01,0.5
62,1046-47,422301,FINAL,49.7,1046-12-15,0.5
62,1046-47,422302,MIDTERM,42.0,1046-11-01,0.5
62,1046-47,422302,FINAL,38.1,1046-12-15,0.5
63,1046-47,441103,MIDTERM,81.8,1047-03-15,0.5
63,1046-47,441103,FINAL,63.8,1047-05-15,0.5
63,1046-47,441301,MIDTERM,45.1,1046-11-01,0.5
63,1046-47,441301,FINAL,90.7,1046-12-15,0.5
63,1046-47,441202,MIDTERM,69.1,1046-11-01,0.5
63,1046-47,441202,FINAL,81.0,1046-12-15,0.5
64,1046-47,4421201,MIDTERM,84.3,1046-11-01,0.5
64,1046-47,4421201,FINAL,100.0,1046-12-15,0.5
64,1046-47,4421102,MIDTERM,69.1,1046-11-01,0.5
64,1046-47,4421102,FINAL,96.9,1046-12-15,0.5
64,1046-47,4421003,MIDTERM,68.2,1047-03-15,0.5
64,1046-47,4421003,FINAL,88.3,1047-05-15,0.5
64,1046-47,442904,MIDTERM,78.1,1047-03-15,0.5
64,1046-47,442904,FINAL,78.4,1047-05-15,0.5
65,1046-47,452401,MIDTERM,59.4,1046-11-01,0.5
65,1046-47,452401,FINAL,51.3,1046-12-15,0.5
66,1046-47,422201,MIDTERM,62.5,1046-11-01,0.5
66,1046-47,422201,FINAL,65.8,1046-12-15,0.5
66,1046-47,422204,MIDTERM,58.8,1047-03-15,0.5
66,1046-47,422204,FINAL,98.5,1047-05-15,0.5
66,1046-47,422202,MIDTERM,78.4,1046-11-01,0.5
66,1046-47,422202,FINAL,62.6,1046-12-15,0.5
66,1046-47,422203,MIDTERM,88.5,1047-03-15,0.5
66,1046-47,422203,FINAL,82.1,1047-05-15,0.5
67,1046-47,4241004,MIDTERM,37.4,1047-03-15,0.5
67,1046-47,4241004,FINAL,34.5,1047-05-15,0.5
67,1046-47,4241001,MIDTERM,35.5,1046-11-01,0.5
67,1046-47,4241001,FINAL,33.8,1046-12-15,0.5
67,1046-47,4241003,MIDTERM,46.4,1047-03-15,0.5
