student_id,academic_year,programme_code,programme_year,status,status_change_at
0,1046-47,4.1.35,1,enrolled,1046-09-01
1,1046-47,2.2.19,1,enrolled,1046-09-01
2,1046-47,4.1.33,1,enrolled,1046-09-01
3,1046-47,1.5.12,1,enrolled,1046-09-01
4,1046-47,4.4.42,1,enrolled,1046-09-01
5,1046-47,2.3.23,1,enrolled,1046-09-01
6,1046-47,1.2.5,1,enrolled,1046-09-01
7,1046-47,3.2.29,1,enrolled,1046-09-01
8,1046-47,3.2.30,1,enrolled,1046-09-01
9,1046-47,4.4.44,1,enrolled,1046-09-01
10,1046-47,1.2.4,1,enrolled,1046-09-01
11,1046-47,1.3.7,1,enrolled,1046-09-01
12,1046-47,1.3.9,1,enrolled,1046-09-01
13,1046-47,2.1.16,1,enrolled,1046-09-01
14,1046-47,1.5.12,1,enrolled,1046-09-01
15,1046-47,2.4.24,1,enrolled,1046-09-01
16,1046-47,4.3.39,1,enrolled,1046-09-01
17,1046-47,2.3.23,1,enrolled,1046-09-01
18,1046-47,4.4.44,1,enrolled,1046-09-01
19,1046-47,4.1.33,1,enrolled,1046-09-01
20,1046-47,3.3.32,1,enrolled,1046-09-01
21,1046-47,2.4.24,1,enrolled,1046-09-01
22,1046-47,4.3.39,1,enrolled,1046-09-01
23,1046-47,2.1.17,1,enrolled,1046-09-01
24,1046-47,4.2.37,1,enrolled,1046-09-01
25,1046-47,4.3.39,1,enrolled,1046-09-01
26,1046-47,3.1.27,1,enrolled,1046-09-01
27,1046-47,1.3.7,1,enrolled,1046-09-01
28,1046-47,4.1.33,1,enrolled,1046-09-01
29,1046-47,4.4.43,1,enrolled,1046-09-01
30,1046-47,2.2.20,1,enrolled,1046-09-01
31,1046-47,4.1.33,1,enrolled,1046-09-01
32,1046-47,4.2.36,1,enrolled,1046-09-01
33,1046-47,4.1.33,1,enrolled,1046-09-01
34,1046-47,2.3.23,1,enrolled,1046-09-01
35,1046-47,3.3.31,1,enrolled,1046-09-01
36,1046-47,1.5.12,1,enrolled,1046-09-01
37,1046-47,1.5.13,1,enrolled,1046-09-01
38,1046-47,2.3.22,1,enrolled,1046-09-01
39,1046-47,4.4.44,1,enrolled,1046-09-01
40,1046-47,4.3.40,1,enrolled,1046-09-01
41,1046-47,4.4.44,1,enrolled,1046-09-01
42,1046-47,4.4.42,1,enrolled,1046-09-01
43,1046-47,1.4.11,1,enrolled,1046-09-01
44,1046-47,2.4.24,1,enrolled,1046-09-01
45,1046-47,1.5.13,1,enrolled,1046-09-01
46,1046-47,4.4.42,1,enrolled,1046-09-01
47,1046-47,3.2.29,1,enrolled,1046-09-01
48,1046-47,2.3.23,1,enrolled,1046-09-01
