student_id,academic_year,programme_year,survey_responded,is_repeat_year,career_clarity,career_confidence,belonging_peers,belonging_programme,academic_self_efficacy,support_satisfaction
0,1046-47,1,True,False,2.559,3.186,3.606,2.449,3.099,3.418
1,1046-47,1,True,False,2.972,2.679,3.571,3.53,3.309,3.918
2,1046-47,1,True,False,2.634,3.064,2.887,3.622,3.436,3.234
3,1046-47,1,True,False,3.258,2.776,3.088,3.119,3.547,3.439
4,1046-47,1,True,False,3.029,3.628,3.162,3.12,3.1,3.614
5,1046-47,1,True,False,3.066,2.812,2.738,3.328,3.862,3.549
6,1046-47,1,False,False,,,,,,
7,1046-47,1,True,False,3.051,3.086,3.478,3.219,3.409,3.101
8,1046-47,1,True,False,3.248,2.517,3.041,2.98,3.086,3.212
9,1046-47,1,True,False,2.565,3.207,2.671,3.21,3.429,3.62
10,1046-47,1,True,False,3.154,2.754,3.044,3.572,3.315,2.673
11,1046-47,1,True,False,2.698,3.194,3.239,3.458,3.152,3.452
12,1046-47,1,True,False,2.931,3.199,2.834,2.954,3.273,2.66
13,1046-47,1,True,False,2.92,3.088,3.315,3.301,3.843,3.268
14,1046-47,1,True,False,2.888,2.325,2.768,2.817,2.931,3.656
15,1046-47,1,True,False,2.979,3.566,2.931,3.369,3.282,3.185
16,1046-47,1,True,False,2.799,3.212,2.596,3.461,3.631,3.194
17,1046-47,1,False,False,,,,,,
18,1046-47,1,True,False,2.805,3.072,3.178,3.81,3.414,2.916
19,1046-47,1,True,False,2.931,3.33,3.684,3.493,3.702,2.666
20,1046-47,1,True,False,2.638,2.826,2.7,3.505,3.155,2.778
21,1046-47,1,True,False,3.055,3.239,3.974,4.34,3.623,2.922
22,1046-47,1,True,False,2.947,2.569,3.113,3.034,3.006,3.798
23,1046-47,1,False,False,,,,,,
24,1046-47,1,True,False,2.65,2.426,2.962,3.136,4.177,3.4
25,1046-47,1,True,False,2.695,2.455,2.871,2.967,3.919,2.763
26,1046-47,1,True,False,2.643,3.285,3.441,3.224,3.098,3.047
27,1046-47,1,True,False,2.72,2.451,2.76,3.34,3.639,3.367
28,1046-47,1,False,False,,,,,,
29,1046-47,1,True,False,3.469,3.089,2.987,3.594,3.558,3.913
30,1046-47,1,True,False,2.577,2.526,3.852,3.882,3.521,3.213
31,1046-47,1,True,False,2.478,2.553,3.489,3.074,2.868,3.034
32,1046-47,1,True,False,3.452,2.991,3.412,2.334,3.478,3.006
33,1046-47,1,True,False,2.684,2.875,3.519,2.622,3.163,3.002
34,1046-47,1,True,False,3.406,3.244,3.637,3.04,2.916,3.058
35,1046-47,1,True,False,3.111,2.67,3.169,3.224,4.45,4.168
36,1046-47,1,False,False,,,,,,
37,1046-47,1,True,False,2.408,2.714,3.408,3.764,3.146,3.007
38,1046-47,1,True,False,2.95,2.635,2.957,2.818,3.219,2.57
39,1046-47,1,True,False,3.777,2.581,2.694,3.867,4.565,2.802
40,1046-47,1,True,False,3.06,3.545,2.8,3.097,3.478,3.611
