student_id,academic_year_graduated,programme_code,degree_classification,degree_weighted_avg
1006,1048-49,4_2_12,2:1,62.0
1011,1048-49,4_2_12,First,73.6
1012,1048-49,2_1_1,2:2,52.5
1013,1048-49,2_4_12,2:2,57.7
1016,1048-49,2_2_4,2:1,64.0
1024,1048-49,1_1_3,2:2,57.9
1028,1048-49,1_1_5,2:1,63.8
103,1048-49,2_2_6,2:1,61.6
1034,1048-49,1_1_5,2:2,57.7
1040,1048-49,2_2_2,2:1,68.4
1044,1048-49,2_3_8,2:2,51.2
1045,1048-49,2_2_6,2:1,60.3
105,1048-49,2_2_3,First,71.7
1050,1048-49,1_1_1,2:2,57.6
1054,1048-49,2_2_4,2:2,50.0
1057,1048-49,2_3_7,2:2,52.5
1059,1048-49,2_3_7,2:2,50.2
106,1048-49,1_1_3,2:1,63.6
1062,1048-49,2_1_1,2:1,68.3
1070,1048-49,2_2_6,2:1,67.0
1071,1048-49,1_1_2,Third,49.2
1075,1048-49,2_2_4,2:1,66.7
1076,1048-49,2_2_2,2:1,66.7
1078,1048-49,3_1_1,2:2,56.6
1079,1048-49,4_2_12,2:1,66.9
1082,1048-49,2_2_5,2:1,69.4
1084,1048-49,3_1_1,2:1,66.0
1088,1048-49,2_2_3,2:2,59.0
1089,1048-49,2_4_10,2:1,61.6
1091,1048-49,2_1_1,2:2,51.8
1094,1048-49,2_4_10,2:2,50.9
1096,1048-49,2_4_10,2:2,52.9
1101,1048-49,2_2_3,2:2,53.3
1105,1048-49,2_2_3,2:2,59.8
1108,1048-49,1_2_1,2:2,59.2
1111,1048-49,2_2_6,2:1,65.6
1112,1048-49,2_2_2,2:2,56.7
1113,1048-49,3_2_2,2:2,55.7
1114,1048-49,2_2_4,2:1,65.8
1117,1048-49,2_2_2,2:1,64.1
1125,1048-49,2_1_1,Third,48.2
1126,1048-49,2_1_1,2:2,55.2
1134,1048-49,2_4_10,2:1,65.1
1143,1048-49,1_1_1,2:1,62.2
115,1048-49,1_2_1,2:2,52.4
1151,1048-49,2_4_10,2:1,60.9
1158,1048-49,2_1_1,2:2,52.9
1165,1048-49,2_2_6,2:2,51.5
1166,1048-49,2_3_9,First,71.3
1168,1048-49,3_1_1,2:1,63.9
1169,1048-49,2_1_1,2:2,54.9
1171,1048-49,2_1_1,2:2,57.9
1185,1048-49,4_2_12,2:1,63.5
1187,1048-49,1_2_1,2:2,52.3
1189,1048-49,2_4_10,2:2,59.6
1194,1048-49,2_2_5,2:2,58.6
1208,1048-49,2_3_8,2:1,61.8
1210,1048-49,1_1_3,2:1,67.8
1217,1048-49,4_2_12,2:1,63.0
