student_id,academic_year_graduated,survey_responded,outcome_type,professional_level,employment_sector,salary_band,time_to_outcome_months,outcome_recorded_at
1006,1048-49,True,employed,non_professional,social_care,3.0,9.0,1050-08-01
1011,1048-49,True,employed,professional,healthcare_and_nhs,5.0,4.0,1050-08-01
1012,1048-49,False,,,,,,1050-08-01
1013,1048-49,False,,,,,,1050-08-01
1016,1048-49,True,employed,non_professional,architecture_and_built_environment,3.0,5.0,1050-08-01
1024,1048-49,True,employed,professional,finance_and_banking,2.0,2.0,1050-08-01
1028,1048-49,True,employed,professional,hospitality_and_tourism,4.0,6.0,1050-08-01
103,1048-49,False,,,,,,1050-08-01
1034,1048-49,False,,,,,,1050-08-01
1040,1048-49,True,unknown,,,,14.0,1050-08-01
1044,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1045,1048-49,True,employed,professional,architecture_and_built_environment,5.0,3.0,1050-08-01
105,1048-49,True,employed,professional,heritage_and_curation,5.0,8.0,1050-08-01
1050,1048-49,False,,,,,,1050-08-01
1054,1048-49,True,employed,non_professional,craft_and_making,2.0,4.0,1050-08-01
1057,1048-49,False,,,,,,1050-08-01
1059,1048-49,False,,,,,,1050-08-01
106,1048-49,True,employed,non_professional,management_consulting,3.0,5.0,1050-08-01
1062,1048-49,False,,,,,,1050-08-01
1070,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1071,1048-49,True,employed,professional,management_consulting,2.0,7.0,1050-08-01
1075,1048-49,True,employed,professional,design_and_media,5.0,5.0,1050-08-01
1076,1048-49,False,,,,,,1050-08-01
1078,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1079,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1082,1048-49,True,further_study,,further_study,,4.0,1050-08-01
1084,1048-49,True,employed,non_professional,ngo_and_charity,3.0,5.0,1050-08-01
1088,1048-49,False,,,,,,1050-08-01
1089,1048-49,True,employed,professional,heritage_and_curation,4.0,3.0,1050-08-01
1091,1048-49,False,,,,,,1050-08-01
1094,1048-49,True,employed,non_professional,architecture_and_built_environment,2.0,2.0,1050-08-01
1096,1048-49,True,employed,non_professional,heritage_and_curation,2.0,9.0,1050-08-01
1101,1048-49,True,further_study,,further_study,,4.0,1050-08-01
1105,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1108,1048-49,False,,,,,,1050-08-01
1111,1048-49,True,employed,professional,design_and_media,4.0,9.0,1050-08-01
1113,1048-49,True,employed,non_professional,research_and_academia,1.0,5.0,1050-08-01
1114,1048-49,False,,,,,,1050-08-01
1117,1048-49,True,employed,non_professional,creative_industries,3.0,3.0,1050-08-01
1126,1048-49,True,employed,non_professional,craft_and_making,2.0,3.0,1050-08-01
1131,1048-49,False,,,,,,1050-08-01
1143,1048-49,False,,,,,,1050-08-01
1148,1048-49,True,further_study,,further_study,,1.0,1050-08-01
115,1048-49,True,employed,professional,finance_and_banking,4.0,2.0,1050-08-01
1151,1048-49,True,employed,professional,craft_and_making,4.0,2.0,1050-08-01
1165,1048-49,False,,,,,,1050-08-01
1166,1048-49,True,employed,non_professional,design_and_media,3.0,3.0,1050-08-01
1168,1048-49,True,employed,professional,research_and_academia,5.0,6.0,1050-08-01
1171,1048-49,True,employed,professional,heritage_and_curation,4.0,11.0,1050-08-01
1187,1048-49,False,,,,,,1050-08-01
1189,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1194,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1200,1048-49,True,employed,professional,architecture_and_built_environment,3.0,7.0,1050-08-01
1208,1048-49,True,unknown,,,,9.0,1050-08-01
1210,1048-49,True,unemployed,,,,16.0,1050-08-01
1217,1048-49,False,,,,,,1050-08-01
1221,1048-49,True,employed,professional,design_and_media,4.0,2.0,1050-08-01
1223,1048-49,True,employed,professional,social_care,2.0,4.0,1050-08-01
1224,1048-49,True,further_study,,further_study,,0.0,1050-08-01
1225,1048-49,False,,,,,,1050-08-01
1229,1048-49,False,,,,,,1050-08-01
123,1048-49,True,employed,non_professional,architecture_and_built_environment,3.0,5.0,1050-08-01
1244,1048-49,True,employed,non_professional,management_consulting,3.0,3.0,1050-08-01
1251,1048-49,True,employed,professional,management_consulting,4.0,3.0,1050-08-01
1255,1048-49,True,employed,professional,media_and_communications,3.0,7.0,1050-08-01
1257,1048-49,False,,,,,,1050-08-01
1268,1048-49,True,employed,professional,design_and_media,3.0,5.0,1050-08-01
1269,1048-49,True,employed,non_professional,design_and_media,2.0,1.0,1050-08-01
1273,1048-49,False,,,,,,1050-08-01
1274,1048-49,False,,,,,,1050-08-01
1278,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1283,1048-49,True,further_study,,further_study,,4.0,1050-08-01
1287,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1289,1048-49,True,further_study,,further_study,,2.0,1050-08-01
129,1048-49,False,,,,,,1050-08-01
1290,1048-49,True,employed,professional,architecture_and_built_environment,5.0,5.0,1050-08-01
1302,1048-49,True,employed,professional,management_consulting,3.0,2.0,1050-08-01
1307,1048-49,True,employed,non_professional,design_and_media,4.0,3.0,1050-08-01
1309,1048-49,True,further_study,,further_study,,2.0,1050-08-01
1320,1048-49,True,employed,professional,heritage_and_curation,5.0,4.0,1050-08-01
1331,1048-49,True,employed,non_professional,legal_services,2.0,7.0,1050-08-01
1333,1048-49,True,unemployed,,,,21.0,1050-08-01
1335,1048-49,True,further_study,,further_study,,5.0,1050-08-01
1341,1048-49,True,employed,non_professional,human_resources,2.0,3.0,1050-08-01
1348,1048-49,False,,,,,,1050-08-01
1350,1048-49,False,,,,,,1050-08-01
1352,1048-49,False,,,,,,1050-08-01
136,1048-49,True,employed,professional,finance_and_banking,4.0,4.0,1050-08-01
1364,1048-49,True,employed,non_professional,heritage_and_curation,2.0,3.0,1050-08-01
1365,1048-49,True,further_study,,further_study,,2.0,1050-08-01
1373,1048-49,True,further_study,,further_study,,5.0,1050-08-01
1374,1048-49,False,,,,,,1050-08-01
1392,1048-49,True,employed,professional,design_and_media,3.0,4.0,1050-08-01
1394,1048-49,True,employed,non_professional,creative_industries,1.0,4.0,1050-08-01
140,1048-49,False,,,,,,1050-08-01
1404,1048-49,True,employed,professional,craft_and_making,2.0,7.0,1050-08-01
1405,1048-49,True,employed,non_professional,architecture_and_built_environment,3.0,3.0,1050-08-01
1409,1048-49,True,employed,non_professional,finance_and_banking,3.0,7.0,1050-08-01
1410,1048-49,False,,,,,,1050-08-01
1411,1048-49,True,employed,non_professional,design_and_media,2.0,3.0,1050-08-01
1412,1048-49,True,employed,professional,legal_services,2.0,5.0,1050-08-01
1417,1048-49,False,,,,,,1050-08-01
1420,1048-49,True,further_study,,further_study,,2.0,1050-08-01
