student_id,academic_year,year_outcome,status,status_change_at,programme_year_next,avg_mark,modules_passed,modules_total
0,1046-47,pass,enrolled,1047-09-01,2.0,50.0,1,1
1,1046-47,pass,enrolled,1047-09-01,2.0,81.33,4,4
10,1046-47,pass,enrolled,1047-09-01,2.0,74.6,1,1
100,1046-47,pass,enrolled,1047-09-01,2.0,69.95,2,2
1000,1046-47,pass,enrolled,1047-09-01,2.0,52.58,4,4
1001,1046-47,fail,withdrawn,1047-09-01,,48.55,3,4
1002,1046-47,pass,enrolled,1047-09-01,2.0,67.5,4,4
1003,1046-47,pass,enrolled,1047-09-01,2.0,72.23,3,3
1004,1046-47,pass,enrolled,1047-09-01,2.0,68.65,4,4
1005,1046-47,pass,enrolled,1047-09-01,2.0,55.88,4,4
1006,1046-47,pass,enrolled,1047-09-01,2.0,67.4,1,1
1007,1046-47,pass,enrolled,1047-09-01,2.0,55.43,3,3
1008,1046-47,pass,enrolled,1047-09-01,2.0,62.4,4,4
1009,1046-47,pass,enrolled,1047-09-01,2.0,65.05,2,2
101,1046-47,pass,enrolled,1047-09-01,2.0,53.48,4,4
1010,1046-47,pass,enrolled,1047-09-01,2.0,60.8,1,1
1011,1046-47,pass,enrolled,1047-09-01,2.0,66.2,2,2
1012,1046-47,pass,enrolled,1047-09-01,2.0,74.83,4,4
1013,1046-47,pass,enrolled,1047-09-01,2.0,52.1,1,1
1014,1046-47,pass,enrolled,1047-09-01,2.0,88.1,2,2
1015,1046-47,pass,enrolled,1047-09-01,2.0,67.33,4,4
1016,1046-47,pass,enrolled,1047-09-01,2.0,45.4,2,2
1017,1046-47,pass,withdrawn,1047-09-01,,62.73,4,4
1018,1046-47,pass,enrolled,1047-09-01,2.0,64.67,4,4
1019,1046-47,pass,enrolled,1047-09-01,2.0,62.35,2,2
102,1046-47,pass,enrolled,1047-09-01,2.0,63.7,2,2
1020,1046-47,pass,enrolled,1047-09-01,2.0,59.02,4,4
1021,1046-47,pass,enrolled,1047-09-01,2.0,62.93,3,3
1022,1046-47,fail,repeating,1047-09-01,1.0,43.13,2,3
1023,1046-47,pass,enrolled,1047-09-01,2.0,57.23,4,4
1024,1046-47,pass,enrolled,1047-09-01,2.0,77.6,1,1
1025,1046-47,pass,enrolled,1047-09-01,2.0,53.33,4,4
1026,1046-47,pass,enrolled,1047-09-01,2.0,70.9,1,1
1027,1046-47,pass,enrolled,1047-09-01,2.0,71.2,4,4
1028,1046-47,pass,enrolled,1047-09-01,2.0,54.83,3,3
1029,1046-47,pass,enrolled,1047-09-01,2.0,76.4,3,3
103,1046-47,pass,enrolled,1047-09-01,2.0,53.2,2,2
1030,1046-47,pass,enrolled,1047-09-01,2.0,56.7,2,2
1031,1046-47,pass,enrolled,1047-09-01,2.0,69.2,4,4
1032,1046-47,pass,enrolled,1047-09-01,2.0,56.5,1,1
1033,1046-47,pass,enrolled,1047-09-01,2.0,65.97,3,3
1034,1046-47,pass,enrolled,1047-09-01,2.0,48.2,1,1
1035,1046-47,pass,enrolled,1047-09-01,2.0,78.7,2,2
1036,1046-47,pass,enrolled,1047-09-01,2.0,89.15,2,2
1037,1046-47,pass,enrolled,1047-09-01,2.0,77.5,1,1
1038,1046-47,pass,enrolled,1047-09-01,2.0,55.17,4,4
1039,1046-47,pass,enrolled,1047-09-01,2.0,53.92,4,4
104,1046-47,pass,enrolled,1047-09-01,2.0,64.4,3,3
1040,1046-47,pass,enrolled,1047-09-01,2.0,53.25,2,2
1041,1046-47,pass,enrolled,1047-09-01,2.0,63.0,1,1
1042,1046-47,pass,enrolled,1047-09-01,2.0,58.0,1,1
1043,1046-47,pass,enrolled,1047-09-01,2.0,57.45,4,4
1044,1046-47,pass,enrolled,1047-09-01,2.0,54.08,4,4
1045,1046-47,pass,enrolled,1047-09-01,2.0,67.3,3,3
1046,1046-47,pass,enrolled,1047-09-01,2.0,60.75,2,2
1047,1046-47,pass,enrolled,1047-09-01,2.0,59.1,1,1
1048,1046-47,pass,enrolled,1047-09-01,2.0,68.9,3,3
1049,1046-47,pass,enrolled,1047-09-01,2.0,64.1,1,1
105,1046-47,pass,enrolled,1047-09-01,2.0,65.5,1,1
1050,1046-47,pass,enrolled,1047-09-01,2.0,60.4,1,1
1051,1046-47,pass,enrolled,1047-09-01,2.0,64.75,4,4
1052,1046-47,pass,enrolled,1047-09-01,2.0,50.25,2,2
1053,1046-47,pass,enrolled,1047-09-01,2.0,63.45,2,2
1054,1046-47,pass,enrolled,1047-09-01,2.0,57.77,4,4
1055,1046-47,fail,repeating,1047-09-01,1.0,46.02,2,4
1056,1046-47,pass,enrolled,1047-09-01,2.0,58.8,1,1
1057,1046-47,pass,enrolled,1047-09-01,2.0,55.65,2,2
1058,1046-47,pass,enrolled,1047-09-01,2.0,70.45,4,4
1059,1046-47,pass,enrolled,1047-09-01,2.0,52.52,4,4
106,1046-47,pass,enrolled,1047-09-01,2.0,78.2,1,1
1060,1046-47,pass,enrolled,1047-09-01,2.0,55.5,4,4
1061,1046-47,pass,enrolled,1047-09-01,2.0,67.18,4,4
1062,1046-47,pass,withdrawn,1047-09-01,,49.05,2,2
1063,1046-47,pass,enrolled,1047-09-01,2.0,67.8,1,1
1064,1046-47,pass,enrolled,1047-09-01,2.0,62.7,1,1
1065,1046-47,pass,enrolled,1047-09-01,2.0,57.6,4,4
1066,1046-47,pass,enrolled,1047-09-01,2.0,70.23,3,3
1067,1046-47,pass,enrolled,1047-09-01,2.0,64.7,4,4
1068,1046-47,pass,enrolled,1047-09-01,2.0,72.65,4,4
1069,1046-47,pass,enrolled,1047-09-01,2.0,54.2,4,4
107,1046-47,pass,enrolled,1047-09-01,2.0,70.27,3,3
1070,1046-47,pass,enrolled,1047-09-01,2.0,63.27,4,4
1071,1046-47,pass,enrolled,1047-09-01,2.0,61.27,4,4
1072,1046-47,pass,enrolled,1047-09-01,2.0,73.3,1,1
1073,1046-47,pass,enrolled,1047-09-01,2.0,67.05,2,2
1074,1046-47,pass,enrolled,1047-09-01,2.0,63.08,4,4
1075,1046-47,pass,enrolled,1047-09-01,2.0,63.97,3,3
1076,1046-47,pass,enrolled,1047-09-01,2.0,59.83,4,4
1077,1046-47,pass,enrolled,1047-09-01,2.0,65.0,1,1
1078,1046-47,pass,enrolled,1047-09-01,2.0,65.1,1,1
1079,1046-47,pass,enrolled,1047-09-01,2.0,60.6,3,3
108,1046-47,pass,enrolled,1047-09-01,2.0,54.1,2,2
1080,1046-47,pass,enrolled,1047-09-01,2.0,52.9,1,1
1081,1046-47,pass,enrolled,1047-09-01,2.0,57.05,2,2
1082,1046-47,pass,enrolled,1047-09-01,2.0,61.2,2,2
1083,1046-47,pass,enrolled,1047-09-01,2.0,73.33,4,4
1084,1046-47,pass,enrolled,1047-09-01,2.0,69.5,4,4
1085,1046-47,pass,enrolled,1047-09-01,2.0,70.6,1,1
1086,1046-47,pass,enrolled,1047-09-01,2.0,70.6,2,2
1087,1046-47,pass,enrolled,1047-09-01,2.0,72.1,2,2
1088,1046-47,pass,enrolled,1047-09-01,2.0,67.05,4,4
1089,1046-47,pass,enrolled,1047-09-01,2.0,59.83,3,3
109,1046-47,pass,enrolled,1047-09-01,2.0,53.62,4,4
1090,1046-47,pass,enrolled,1047-09-01,2.0,71.1,4,4
1091,1046-47,pass,enrolled,1047-09-01,2.0,70.38,4,4
1092,1046-47,pass,enrolled,1047-09-01,2.0,55.5,1,1
1093,1046-47,pass,enrolled,1047-09-01,2.0,72.97,3,3
1094,1046-47,pass,enrolled,1047-09-01,2.0,51.5,3,3
1095,1046-47,pass,enrolled,1047-09-01,2.0,64.15,4,4
1096,1046-47,pass,withdrawn,1047-09-01,,50.7,1,1
1097,1046-47,pass,enrolled,1047-09-01,2.0,68.2,4,4
1098,1046-47,pass,enrolled,1047-09-01,2.0,74.75,4,4
1099,1046-47,pass,enrolled,1047-09-01,2.0,64.45,4,4
