student_id,academic_year,week_number,module_code,semester,total_sessions,attended_sessions,vle_logins,vle_resource_views,vle_forum_posts,vle_mean_login_time
20000,1050-51,1,435901,1,2,1,14,33,1,12:57
20000,1050-51,2,435901,1,2,2,6,13,2,18:01
20000,1050-51,3,435901,1,2,1,7,15,0,14:12
20000,1050-51,4,435901,1,2,2,3,7,1,13:46
20000,1050-51,5,435901,1,2,2,5,11,0,14:52
20000,1050-51,6,435901,1,2,2,12,37,2,15:01
20000,1050-51,7,435901,1,2,1,9,27,2,16:19
20000,1050-51,8,435901,1,2,2,10,31,0,16:22
20000,1050-51,9,435901,1,2,2,2,4,2,13:14
20000,1050-51,10,435901,1,2,1,4,18,3,14:26
20000,1050-51,11,435901,1,2,1,7,32,1,14:47
20000,1050-51,12,435901,1,2,2,6,29,5,13:08
20001,1050-51,1,4241202,1,4,4,4,8,0,16:14
20001,1050-51,1,4241204,2,2,2,7,14,2,13:53
20001,1050-51,1,4241201,1,3,3,12,26,3,14:31
20001,1050-51,1,4241203,2,4,4,7,15,2,13:19
20001,1050-51,2,4241202,1,4,4,4,8,4,12:23
20001,1050-51,2,4241204,2,2,2,4,8,1,13:53
20001,1050-51,2,4241201,1,3,3,12,27,2,11:43
20001,1050-51,2,4241203,2,4,4,4,8,3,14:21
20001,1050-51,3,4241202,1,4,3,6,11,0,15:32
20001,1050-51,3,4241204,2,2,1,4,7,0,15:06
20001,1050-51,3,4241201,1,3,3,11,24,1,11:35
20001,1050-51,3,4241203,2,4,4,5,10,2,15:49
20001,1050-51,4,4241202,1,4,3,8,16,0,13:45
20001,1050-51,4,4241204,2,2,2,9,18,1,13:54
20001,1050-51,4,4241201,1,3,2,9,19,0,13:23
20001,1050-51,4,4241203,2,4,4,10,20,2,16:38
20001,1050-51,5,4241202,1,4,4,4,7,0,13:07
20001,1050-51,5,4241204,2,2,2,2,4,0,15:12
20001,1050-51,5,4241201,1,3,3,5,11,1,14:00
20001,1050-51,5,4241203,2,4,3,11,22,1,14:01
20001,1050-51,6,4241202,1,4,3,10,26,1,16:44
20001,1050-51,6,4241204,2,2,1,5,12,0,14:42
20001,1050-51,6,4241201,1,3,2,4,11,1,16:48
20001,1050-51,6,4241203,2,4,3,9,24,1,13:16
20001,1050-51,7,4241202,1,4,3,11,29,1,13:08
20001,1050-51,7,4241204,2,2,2,7,18,1,13:55
