student_id,academic_year,programme_code,programme_year,is_repeat_year,teaching_quality,learning_opportunities,assessment_feedback,academic_support,organisation_management,learning_resources,student_voice,overall_satisfaction
0,1048-49,3.1.28,3,False,4,3,4,3,3,4,4,4
1,1048-49,2.4.24,3,False,3,4,4,4,4,5,4,4
10,1048-49,4.1.35,3,False,5,4,4,5,4,4,4,4
100,1048-49,3.2.30,3,False,5,4,4,4,3,4,4,4
101,1048-49,2.1.15,3,False,4,4,4,4,4,4,4,4
104,1048-49,2.1.17,3,False,4,3,3,4,4,4,4,4
105,1048-49,1.1.2,3,False,4,4,4,5,4,5,4,4
106,1048-49,2.4.24,3,False,4,4,4,4,3,3,4,4
107,1048-49,1.2.5,3,False,5,5,4,4,4,4,4,5
109,1048-49,4.3.39,3,False,4,4,4,4,4,4,4,3
11,1048-49,4.3.40,3,False,3,3,3,3,3,4,3,3
111,1048-49,2.2.19,3,False,4,4,4,4,3,5,3,4
112,1048-49,4.2.38,3,False,4,4,4,5,4,4,4,4
113,1048-49,2.4.24,3,False,3,3,2,4,2,3,2,3
115,1048-49,3.2.30,3,False,4,4,2,3,3,4,3,3
116,1048-49,4.3.41,3,False,4,3,4,5,3,4,3,3
117,1048-49,2.3.23,3,False,3,3,2,2,2,4,4,3
12,1048-49,4.1.35,3,False,5,4,3,4,3,4,4,3
121,1048-49,2.2.19,3,False,4,3,4,4,4,4,4,4
123,1048-49,2.4.26,3,False,4,5,4,3,3,4,4,4
124,1048-49,4.1.34,3,False,4,4,3,5,3,4,5,4
125,1048-49,4.2.37,3,False,4,4,4,4,4,5,5,5
127,1048-49,2.3.23,3,False,4,5,3,4,4,4,4,4
128,1048-49,4.2.36,3,False,4,4,4,4,4,4,4,5
129,1048-49,4.2.37,3,False,3,3,4,4,4,4,3,3
13,1048-49,4.1.34,3,False,4,3,4,3,3,3,2,4
130,1048-49,2.3.22,3,False,5,4,5,4,5,4,5,5
131,1048-49,4.2.37,3,False,3,3,4,3,3,3,4,2
132,1048-49,2.2.18,3,False,4,4,3,4,3,3,4,3
133,1048-49,3.3.31,3,False,4,4,4,4,4,4,4,3
134,1048-49,4.4.43,3,False,4,4,5,4,4,4,4,4
135,1048-49,4.3.41,3,False,3,3,3,3,3,3,3,2
138,1048-49,2.4.25,3,False,4,3,3,3,3,3,3,3
139,1048-49,1.1.3,3,False,4,4,4,5,3,4,4,4
14,1048-49,4.1.35,3,False,5,4,3,4,4,4,4,4
140,1048-49,1.1.2,3,False,4,3,4,3,3,4,4,4
141,1048-49,3.1.27,3,False,4,5,4,5,3,5,5,5
142,1048-49,4.3.41,3,False,3,3,3,4,3,4,3,3
143,1048-49,4.2.37,3,False,4,5,4,5,5,4,4,4
144,1048-49,4.1.33,3,False,3,4,3,4,3,3,3,3
145,1048-49,3.3.32,3,False,5,5,5,5,5,4,4,5
146,1048-49,1.1.1,3,False,4,3,4,3,4,4,4,4
147,1048-49,1.1.2,3,False,4,4,4,5,4,4,4,4
148,1048-49,1.1.1,3,False,4,4,4,4,4,5,5,4
149,1048-49,4.3.40,3,False,4,4,4,4,5,3,4,4
15,1048-49,2.1.16,3,False,4,3,3,4,4,4,4,3
150,1048-49,1.1.2,3,False,4,4,4,4,4,4,4,4
151,1048-49,4.2.37,3,False,5,5,4,4,4,4,4,4
152,1048-49,3.3.32,3,False,5,5,4,4,4,5,4,5
153,1048-49,2.2.19,3,False,4,4,3,4,4,4,4,3
155,1048-49,4.1.34,3,False,5,5,4,4,4,4,4,5
157,1048-49,4.3.39,3,False,5,5,4,5,4,4,3,4
158,1048-49,3.1.27,3,False,4,4,3,3,3,3,4,4
159,1048-49,3.1.28,3,False,3,3,3,3,3,4,3,4
16,1048-49,4.2.38,3,False,4,3,4,3,3,3,3,4
160,1048-49,2.4.25,3,False,3,4,3,3,3,3,3,3
161,1048-49,4.4.44,3,False,5,4,3,4,4,4,3,4
162,1048-49,3.2.30,3,False,4,3,4,3,4,4,4,4
163,1048-49,2.3.23,3,False,4,4,4,5,4,4,4,4
164,1048-49,3.2.30,3,False,4,5,3,3,4,4,4,4
165,1048-49,4.1.33,3,False,4,4,4,4,3,4,4,4
166,1048-49,2.1.17,3,False,3,4,2,2,3,3,4,3
167,1048-49,1.1.3,3,False,4,4,4,4,4,4,4,3
168,1048-49,2.3.23,3,False,5,5,4,4,4,4,4,5
169,1048-49,4.3.41,3,False,4,4,4,4,4,4,5,3
17,1048-49,1.3.9,3,False,5,4,4,5,4,4,4,4
170,1048-49,4.3.39,3,False,5,5,5,5,4,4,4,5
172,1048-49,4.2.38,3,False,3,3,4,4,4,4,4,4
173,1048-49,1.5.13,3,False,3,4,3,4,3,4,3,3
174,1048-49,2.1.16,3,False,4,4,3,3,3,3,4,4
175,1048-49,1.3.9,3,False,4,3,4,4,3,4,3,4
176,1048-49,4.2.38,3,False,5,5,4,4,4,4,4,4
178,1048-49,2.4.25,3,False,3,4,3,3,3,3,3,3
179,1048-49,3.2.30,3,False,4,4,4,4,4,4,4,4
18,1048-49,4.3.41,3,False,4,4,4,4,3,4,4,3
180,1048-49,2.4.25,3,False,5,4,5,4,4,4,4,4
182,1048-49,2.1.15,3,False,4,4,4,4,4,3,4,4
183,1048-49,3.2.30,3,False,5,5,4,4,3,4,4,4
184,1048-49,3.2.29,3,False,4,3,3,3,3,3,2,3
186,1048-49,3.2.30,3,False,3,4,5,3,4,4,3,3
188,1048-49,1.1.3,3,False,4,4,4,4,4,3,4,4
189,1048-49,4.2.38,3,False,4,3,3,4,3,3,4,4
19,1048-49,4.2.36,3,False,5,4,5,4,4,4,4,4
190,1048-49,1.1.1,3,False,5,4,4,5,4,4,4,4
192,1048-49,2.3.22,3,False,3,4,3,4,4,4,4,3
193,1048-49,4.2.36,3,False,5,5,4,4,4,4,4,5
195,1048-49,4.3.40,3,False,4,4,4,4,5,4,3,4
196,1048-49,4.4.42,3,False,3,4,3,3,3,4,4,3
197,1048-49,4.1.34,3,False,4,4,4,4,4,4,4,4
198,1048-49,2.2.18,3,False,4,4,3,4,3,4,4,3
199,1048-49,3.3.32,3,False,4,4,4,4,4,3,4,4
2,1048-49,3.3.31,3,False,4,4,3,3,4,5,4,4
201,1048-49,2.2.18,3,False,5,4,5,5,4,4,5,5
202,1048-49,4.3.39,3,False,4,4,4,4,3,4,5,5
203,1048-49,4.3.41,3,False,4,4,3,4,4,4,3,3
204,1048-49,4.3.41,3,False,5,4,4,4,3,4,4,4
205,1048-49,1.2.5,3,False,4,4,5,4,4,5,4,4
208,1048-49,3.1.28,3,False,3,3,4,3,3,4,3,3
209,1048-49,1.2.6,3,False,5,5,5,4,5,4,4,5
21,1048-49,1.3.7,3,False,4,3,4,4,5,4,4,4
210,1048-49,3.1.27,3,False,4,4,3,3,3,3,4,4
211,1048-49,2.3.23,3,False,4,4,3,3,3,4,4,4
212,1048-49,4.4.42,3,False,4,4,5,4,4,3,4,5
213,1048-49,3.3.32,3,False,3,3,3,3,3,3,3,3
215,1048-49,1.1.3,3,False,3,4,4,4,3,4,4,4
216,1048-49,1.2.4,3,False,4,5,4,4,4,4,4,4
217,1048-49,4.2.37,3,False,4,4,4,3,4,4,4,4
218,1048-49,2.3.22,3,False,5,5,4,4,4,4,5,5
219,1048-49,2.3.23,3,False,5,5,3,4,5,5,5,5
22,1048-49,1.5.13,3,False,4,4,4,4,4,4,4,5
220,1048-49,1.2.5,3,False,4,4,4,4,4,4,3,4
221,1048-49,1.5.13,3,False,4,3,4,4,3,3,3,4
223,1048-49,4.2.38,3,False,5,4,3,4,4,4,4,4
224,1048-49,4.3.41,3,False,4,4,4,3,4,4,4,3
225,1048-49,3.2.30,3,False,4,4,4,4,4,4,4,3
227,1048-49,4.2.37,3,False,4,5,4,4,3,5,5,4
228,1048-49,2.2.18,3,False,5,4,3,5,4,4,4,3
229,1048-49,4.1.34,3,False,4,3,4,4,2,3,4,3
23,1048-49,3.1.27,3,False,5,5,4,5,4,4,4,4
230,1048-49,4.4.42,3,False,4,3,3,4,3,3,4,3
232,1048-49,4.4.42,3,False,4,3,4,4,3,4,3,4
233,1048-49,1.4.10,3,False,3,3,3,3,3,3,3,2
234,1048-49,3.2.30,3,False,5,4,4,4,3,4,3,4
235,1048-49,4.2.37,3,False,5,4,5,4,5,3,3,4
236,1048-49,1.4.10,3,False,4,4,4,4,3,3,3,4
237,1048-49,4.1.35,3,False,5,5,4,4,4,4,4,4
238,1048-49,1.2.4,3,False,3,3,2,3,3,3,4,3
239,1048-49,4.1.33,3,False,4,4,4,4,4,4,4,4
240,1048-49,4.1.33,3,False,5,5,5,5,5,5,5,5
241,1048-49,2.1.17,3,False,4,5,4,4,4,4,5,4
242,1048-49,3.2.30,3,False,4,4,3,4,4,4,4,4
243,1048-49,4.1.34,3,False,4,4,5,4,5,4,4,4
244,1048-49,4.3.39,3,False,4,4,3,4,4,4,3,4
245,1048-49,1.5.13,3,False,4,4,3,3,3,4,4,3
247,1048-49,3.2.30,3,False,4,4,3,4,3,4,4,4
248,1048-49,4.1.33,3,False,4,3,4,4,4,4,4,4
25,1048-49,4.3.39,3,False,4,5,4,4,4,4,3,4
250,1048-49,4.4.44,3,False,4,4,4,4,4,4,3,5
251,1048-49,2.1.15,3,False,5,4,4,4,4,4,4,4
253,1048-49,4.4.42,3,False,4,3,3,4,3,4,3,4
256,1048-49,2.2.19,3,False,4,3,3,3,3,3,3,3
257,1048-49,3.2.29,3,False,4,4,3,3,3,4,4,3
26,1048-49,1.3.9,3,False,4,4,3,3,3,5,4,3
260,1048-49,4.4.42,3,False,3,4,4,5,4,4,4,4
261,1048-49,4.1.34,3,False,4,4,3,4,3,3,3,3
262,1048-49,3.2.29,3,False,3,4,3,3,3,4,4,3
263,1048-49,2.2.18,3,False,4,4,3,4,3,3,3,3
264,1048-49,3.1.27,3,False,4,5,4,5,4,4,5,4
265,1048-49,2.2.20,3,False,4,3,3,4,4,3,4,4
266,1048-49,4.2.38,3,False,4,4,3,4,3,4,3,4
267,1048-49,2.1.16,3,False,3,3,3,3,3,3,4,3
269,1048-49,3.1.27,3,False,3,4,2,2,3,3,3,3
270,1048-49,3.2.30,3,False,4,3,4,5,4,4,3,3
272,1048-49,3.3.31,3,False,5,4,4,4,3,3,4,3
273,1048-49,2.2.18,3,False,4,4,4,5,4,3,3,4
275,1048-49,1.3.7,3,False,4,4,4,3,3,4,4,4
276,1048-49,3.2.29,3,False,4,3,3,5,3,4,4,4
277,1048-49,4.2.38,3,False,3,3,4,4,3,3,3,3
