student_id,academic_year,year_outcome,status,status_change_at,programme_year_next,avg_mark,modules_passed,modules_total
0,1046-47,pass,enrolled,1047-09-01,2.0,58.8,2,2
1,1046-47,pass,enrolled,1047-09-01,2.0,78.15,2,2
10,1046-47,pass,enrolled,1047-09-01,2.0,61.7,2,2
100,1046-47,pass,enrolled,1047-09-01,2.0,60.3,2,2
101,1046-47,pass,enrolled,1047-09-01,2.0,66.4,2,2
102,1046-47,pass,withdrawn,1047-09-01,,61.4,2,2
103,1046-47,pass,enrolled,1047-09-01,2.0,49.7,2,2
104,1046-47,pass,enrolled,1047-09-01,2.0,56.3,2,2
105,1046-47,pass,enrolled,1047-09-01,2.0,58.5,2,2
106,1046-47,pass,enrolled,1047-09-01,2.0,74.15,2,2
107,1046-47,pass,enrolled,1047-09-01,2.0,70.9,2,2
108,1046-47,pass,withdrawn,1047-09-01,,53.7,2,2
109,1046-47,pass,enrolled,1047-09-01,2.0,57.35,2,2
11,1046-47,pass,enrolled,1047-09-01,2.0,63.2,2,2
110,1046-47,pass,enrolled,1047-09-01,2.0,46.45,2,2
111,1046-47,pass,enrolled,1047-09-01,2.0,74.15,2,2
112,1046-47,pass,enrolled,1047-09-01,2.0,53.1,2,2
113,1046-47,pass,enrolled,1047-09-01,2.0,51.0,2,2
114,1046-47,pass,enrolled,1047-09-01,2.0,61.2,2,2
115,1046-47,pass,enrolled,1047-09-01,2.0,60.8,2,2
116,1046-47,pass,enrolled,1047-09-01,2.0,54.55,2,2
117,1046-47,pass,enrolled,1047-09-01,2.0,57.05,2,2
118,1046-47,pass,withdrawn,1047-09-01,,69.85,2,2
119,1046-47,fail,withdrawn,1047-09-01,,46.23,2,3
12,1046-47,pass,enrolled,1047-09-01,2.0,58.4,2,2
120,1046-47,pass,enrolled,1047-09-01,2.0,57.4,2,2
121,1046-47,pass,enrolled,1047-09-01,2.0,65.25,2,2
122,1046-47,fail,repeating,1047-09-01,1.0,56.43,2,3
123,1046-47,pass,enrolled,1047-09-01,2.0,63.75,2,2
124,1046-47,pass,enrolled,1047-09-01,2.0,63.7,2,2
125,1046-47,pass,enrolled,1047-09-01,2.0,57.5,2,2
126,1046-47,pass,withdrawn,1047-09-01,,64.55,2,2
127,1046-47,pass,enrolled,1047-09-01,2.0,63.1,2,2
128,1046-47,pass,enrolled,1047-09-01,2.0,59.9,2,2
129,1046-47,pass,enrolled,1047-09-01,2.0,70.8,2,2
13,1046-47,pass,enrolled,1047-09-01,2.0,68.2,2,2
130,1046-47,pass,enrolled,1047-09-01,2.0,81.65,2,2
131,1046-47,pass,enrolled,1047-09-01,2.0,60.0,2,2
132,1046-47,pass,enrolled,1047-09-01,2.0,70.65,2,2
133,1046-47,pass,enrolled,1047-09-01,2.0,58.6,2,2
134,1046-47,pass,enrolled,1047-09-01,2.0,80.45,2,2
135,1046-47,pass,enrolled,1047-09-01,2.0,55.5,2,2
136,1046-47,fail,withdrawn,1047-09-01,,47.0,1,2
137,1046-47,pass,enrolled,1047-09-01,2.0,50.3,2,2
138,1046-47,pass,enrolled,1047-09-01,2.0,65.65,2,2
139,1046-47,pass,enrolled,1047-09-01,2.0,61.4,2,2
14,1046-47,pass,enrolled,1047-09-01,2.0,57.85,2,2
