module_code,module_title,programme_code,module_year,semester,assessment_type,difficulty_level,social_requirements,creativity_requirements,practical_theoretical_balance,stress_level,group_work_intensity,independent_study_requirement,description
4.1.35.01,Foundations in Cross-Species Communication,4.1.35,1,1,essay,0.27,0.6,0.74,0.35,0.26,0.52,0.39,Introductory language and symbol module establishing core concepts and practices.
4.1.35.02,"Meaning Beyond Words: Gesture, Scent, Frequency",4.1.35,1,2,essay,0.4,0.58,0.68,0.31,0.36,0.5,0.4,"Foundation module in Language and Symbol: Meaning Beyond Words: Gesture, Scent, Frequency."
2.2.19.01,"Embodied Learning: Movement, Stillness, Attention",2.2.19,1,1,mixed,0.32,0.68,0.7,0.66,0.33,0.65,0.41,"Foundation module in Healing and Embodied Knowledge: Embodied Learning: Movement, Stillness, Attention."
2.2.19.02,Foundations of Somatic Awareness,2.2.19,1,2,mixed,0.28,0.74,0.68,0.66,0.32,0.72,0.42,Introductory healing and embodied knowledge module establishing core concepts and practices.
4.1.33.01,"Introduction to Ancient Lexicons: Form, Function, Power",4.1.33,1,1,essay,0.2,0.63,0.7,0.32,0.26,0.53,0.36,Introductory language and symbol module establishing core concepts and practices.
4.1.33.02,Script and Sound: Orthography Through Time,4.1.33,1,2,essay,0.37,0.62,0.7,0.34,0.35,0.52,0.44,Foundation module in Language and Symbol: Script and Sound: Orthography Through Time.
1.5.12.01,Introduction to Rune Logic and Symbolic Systems,1.5.12,1,1,practical,0.22,0.48,0.68,0.7,0.27,0.46,0.44,Introductory stonework and structural alchemy module establishing core concepts and practices.
1.5.12.02,Foundations of Structural Enchantment,1.5.12,1,1,practical,0.26,0.54,0.72,0.69,0.25,0.48,0.39,Introductory stonework and structural alchemy module establishing core concepts and practices.
1.5.12.03,"Inscription Techniques: Stone, Metal, Clay",1.5.12,1,2,practical,0.29,0.46,0.68,0.7,0.32,0.49,0.36,"Foundation module in Stonework and Structural Alchemy: Inscription Techniques: Stone, Metal, Clay."
4.4.42.01,"Foundations of Consensus: Song, Circle, and Signal",4.4.42,1,1,essay,0.27,0.76,0.68,0.32,0.32,0.59,0.37,Introductory political myth and governance module establishing core concepts and practices.
4.4.42.02,Polylogic: Speaking Across Worlds and Logics,4.4.42,1,2,essay,0.3,0.66,0.72,0.27,0.32,0.54,0.36,Foundation module in Political Myth and Governance: Polylogic: Speaking Across Worlds and Logics.
2.3.23.01,Histories and Futures of Hospitality,2.3.23,1,1,essay,0.33,0.85,0.68,0.58,0.33,0.76,0.36,Foundation module in Hospitality and Conflict Holding: Histories and Futures of Hospitality.
2.3.23.02,The Host as Educator and Healer,2.3.23,1,2,mixed,0.42,0.86,0.71,0.61,0.37,0.7,0.41,Foundation module in Hospitality and Conflict Holding: The Host as Educator and Healer.
1.2.5.01,Introduction to Fungal Kingdoms,1.2.5,1,1,practical,0.23,0.59,0.62,0.85,0.31,0.5,0.36,Introductory food and sustenance technologies module establishing core concepts and practices.
1.2.5.02,Growing Mediums and Spore Cultivation,1.2.5,1,2,practical,0.26,0.6,0.61,0.85,0.32,0.56,0.36,Foundation module in Food and Sustenance Technologies: Growing Mediums and Spore Cultivation.
3.2.29.01,"Lifespan Learning: Cognitive, Emotional, and Social Perspectives",3.2.29,1,1,essay,0.26,0.57,0.7,0.32,0.31,0.46,0.45,"Foundation module in Learning Futures: Lifespan Learning: Cognitive, Emotional, and Social Perspectives."
3.2.29.02,"The Role of Elders, Children, and Peers in Knowledge Cultures",3.2.29,1,2,essay,0.43,0.56,0.71,0.3,0.32,0.47,0.43,"Foundation module in Learning Futures: The Role of Elders, Children, and Peers in Knowledge Cultures."
3.2.30.01,Learning in Crisis: Adaptive Theories of Change,3.2.30,1,1,essay,0.34,0.55,0.69,0.36,0.32,0.5,0.47,Foundation module in Learning Futures: Learning in Crisis: Adaptive Theories of Change.
3.2.30.02,"Uncertainty as Curriculum: Improvisation, Reflection, and Risk",3.2.30,1,2,essay,0.31,0.58,0.76,0.34,0.35,0.49,0.43,"Foundation module in Learning Futures: Uncertainty as Curriculum: Improvisation, Reflection, and Risk."
4.4.44.01,"Institutions as Stories: Memory, Myth, Mechanism",4.4.44,1,1,essay,0.32,0.69,0.73,0.27,0.37,0.49,0.38,"Foundation module in Political Myth and Governance: Institutions as Stories: Memory, Myth, Mechanism."
4.4.44.02,Governance Through Narrative Form,4.4.44,1,2,essay,0.38,0.64,0.73,0.31,0.37,0.51,0.43,Foundation module in Political Myth and Governance: Governance Through Narrative Form.
1.2.4.01,Foundations of Permaculture and Ecological Design,1.2.4,1,1,practical,0.31,0.58,0.67,0.84,0.26,0.5,0.38,Introductory food and sustenance technologies module establishing core concepts and practices.
1.2.4.02,"Soil as System: Chemistry, Life, and Lore",1.2.4,1,1,practical,0.25,0.58,0.65,0.83,0.34,0.51,0.41,"Foundation module in Food and Sustenance Technologies: Soil as System: Chemistry, Life, and Lore."
1.2.4.03,Agroecology in Practice,1.2.4,1,2,practical,0.39,0.54,0.65,0.78,0.36,0.53,0.43,Foundation module in Food and Sustenance Technologies: Agroecology in Practice.
1.3.7.01,Fundamentals of Metal and Flame,1.3.7,1,1,practical,0.37,0.48,0.65,0.9,0.25,0.41,0.39,Introductory forge arts and metallurgy module establishing core concepts and practices.
1.3.7.02,"Tools, Temperatures, and Techniques",1.3.7,1,1,practical,0.28,0.53,0.68,0.88,0.36,0.41,0.4,"Foundation module in Forge Arts and Metallurgy: Tools, Temperatures, and Techniques."
1.3.7.03,"Drawing, Modelling, and Material Thinking",1.3.7,1,2,practical,0.33,0.53,0.66,0.91,0.38,0.36,0.36,"Foundation module in Forge Arts and Metallurgy: Drawing, Modelling, and Material Thinking."
1.3.9.01,Reading the Object: Material Histories and Markings,1.3.9,1,1,practical,0.39,0.5,0.64,0.91,0.36,0.41,0.42,Foundation module in Forge Arts and Metallurgy: Reading the Object: Material Histories and Markings.
1.3.9.02,Principles of Conservation and Ethical Restoration,1.3.9,1,2,practical,0.21,0.51,0.69,0.91,0.3,0.36,0.43,Foundation module in Forge Arts and Metallurgy: Principles of Conservation and Ethical Restoration.
