programme_code,programme_name,faculty,department,description,social_intensity,practical_theoretical_balance,stress_level,career_prospects,academic_difficulty,creativity_requirement,leadership_opportunities,research_intensity,community_engagement,innovation_focus
4.1.35,Multispecies Semantics,Faculty of Integrative Inquiry,Language and Symbol,Communication and meaning across species boundaries,0.6,0.5,0.5,0.6,0.7,0.8,0.5,0.8,0.6,0.8
2.2.19,Integrated Mind-Body,Faculty of Living Lore,Healing and Embodied Knowledge,Integration of mental and physical practices,0.5,0.7,0.3,0.6,0.5,0.6,0.5,0.5,0.6,0.5
4.1.33,Ancient Tongues and Translation,Faculty of Integrative Inquiry,Language and Symbol,Ancient language study and translation work,0.4,0.4,0.5,0.5,0.8,0.4,0.4,0.8,0.5,0.3
1.5.12,Runic Infrastructure,Faculty of Living Lore,Stonework and Structural Alchemy,Design and implementation of runic infrastructure systems,0.4,0.8,0.6,0.7,0.7,0.6,0.6,0.6,0.4,0.7
4.4.42,Consensus Systems in Hybrid Societies,Faculty of Living Lore,Political Myth and Governance,Design of consensus systems for diverse societies,0.9,0.7,0.7,0.6,0.6,0.7,0.8,0.6,0.8,0.7
2.3.23,Hospitality as Praxis,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,Hospitality as a form of social practice and care,0.9,0.8,0.7,0.5,0.3,0.4,0.6,0.2,0.8,0.3
1.2.5,Mycelial Cultivation and Biotech,Faculty of Applied Forging,Food and Sustenance Technologies,Fungal cultivation and biological technology,0.5,0.7,0.5,0.8,0.6,0.7,0.5,0.6,0.6,0.8
3.2.29,Intergenerational Learning,Faculty of Hearth and Transformation,Learning Futures,Learning across generations and age groups,0.9,0.6,0.5,0.6,0.5,0.6,0.7,0.4,0.9,0.5
3.2.30,Pedagogies for Uncertain Times,Faculty of Living Lore,Learning Futures,Educational approaches for uncertain and changing times,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.7
4.4.44,Narrative Governance and Institution Building,Faculty of Integrative Inquiry,Political Myth and Governance,Storytelling in governance and institution design,0.8,0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.7,0.7
1.2.4,Earth-Aligned Agriculture,Faculty of Applied Forging,Food and Sustenance Technologies,Sustainable agriculture and land stewardship,0.6,0.9,0.3,0.8,0.4,0.5,0.6,0.4,0.8,0.7
1.3.7,Precision Smithing and Design,Faculty of Applied Forging,Forge Arts and Metallurgy,"Advanced craft programme developing precision metalwork, design methodology, and technical mastery.",0.45,0.9,0.55,0.75,0.65,0.75,0.45,0.4,0.4,0.7
1.3.9,Artefact Restoration,Faculty of Applied Forging,Forge Arts and Metallurgy,Specialist programme in the ethical conservation and restoration of historical artefacts across materials.,0.5,0.78,0.55,0.65,0.65,0.7,0.4,0.65,0.5,0.55
2.1.16,Listening Circles Facilitation,Faculty of Living Lore,"Education, Eldership, and Mentoring",Facilitation of listening circles and dialogue spaces,0.9,0.8,0.6,0.5,0.4,0.6,0.7,0.3,0.9,0.5
