student_id,race,gender,ethnicity,prior_educational_experience,socio_economic_class_rank,physical_disability,mental_health_disability,specific_learning_disability,autistic_spectrum,adhd,dyslexia,other_neurodivergence,deaf_or_hearing_impaired,wheelchair_user,requires_personal_care,blind_or_visually_impaired,communication_difficulties,no_known_disabilities
1,Dwarf,Male,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Dwarf,Other,Malachite,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,True
3,Elf,Female,Yew,Academic,3,False,True,False,False,False,False,False,False,False,False,False,False,False
4,Dwarf,Female,Alabaster,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Dwarf,Male,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Elf,Male,Palm,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Elf,Male,Ash,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
8,Dwarf,Female,Sandstone,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,True
9,Elf,Female,Ash,Academic,4,False,False,False,False,False,True,False,False,False,False,False,False,True
10,Dwarf,Female,Sandstone,Vocational,4,True,False,False,False,False,False,False,False,False,False,False,False,False
11,Dwarf,Male,Sandstone,Vocational,3,False,False,False,False,False,False,True,False,False,False,False,False,True
12,Dwarf,Other,Gypsum,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Elf,Female,Palm,Academic,4,True,False,False,False,False,True,False,False,False,False,False,False,True
14,Elf,Male,Baobab,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
15,Dwarf,Male,Granite,Vocational,1,False,False,False,False,True,False,False,False,False,False,False,False,False
16,Dwarf,Male,Flint,Vocational,3,False,False,False,False,True,False,False,False,False,False,False,False,False
17,Dwarf,Male,Malachite,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Dwarf,Female,Alabaster,Vocational,2,False,False,False,False,True,False,False,False,False,False,False,False,False
19,Elf,Male,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Elf,Male,Holly,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Elf,Female,Ash,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
22,Dwarf,Male,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Elf,Male,Palm,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
24,Elf,Male,Palm,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
25,Elf,Female,Ash,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Dwarf,Female,Malachite,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Elf,Male,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,True,False,True
28,Dwarf,Female,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
30,Elf,Male,Rowan,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
31,Dwarf,Female,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Elf,Male,Rowan,Academic,3,False,False,False,False,False,True,False,False,False,False,False,False,True
33,Dwarf,Male,Alabaster,Vocational,2,False,True,False,False,False,False,False,False,False,False,False,False,False
34,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
35,Elf,Other,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
36,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,True,False,False,False,False,True
37,Dwarf,Male,Granite,Academic,5,True,False,False,False,False,False,False,False,False,False,True,False,False
38,Dwarf,Male,Sandstone,Vocational,4,True,False,False,False,False,False,False,False,False,False,False,False,True
39,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,True,False,False,False
40,Elf,Male,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
41,Elf,Male,Baobab,Vocational,5,False,False,False,False,False,False,False,False,False,False,True,False,True
42,Dwarf,Female,Gypsum,Vocational,2,False,False,False,False,False,False,False,False,False,False,True,False,True
43,Dwarf,Male,Alabaster,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,True
44,Elf,Female,Ash,Vocational,3,False,False,False,False,False,False,False,False,False,False,True,False,True
45,Elf,Male,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
46,Dwarf,Female,Malachite,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,False
47,Elf,Male,Ash,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
48,Dwarf,Female,Sandstone,Vocational,2,False,True,False,False,False,False,False,False,False,False,False,False,False
49,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,True,False,False,False,False,False
50,Dwarf,Male,Granite,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
51,Elf,Other,Rowan,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,False
52,Dwarf,Female,Gypsum,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
53,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
54,Dwarf,Female,Alabaster,Vocational,2,True,False,False,False,True,False,False,False,False,False,False,False,True
55,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,True,False,True
56,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,True,False,False,False
57,Elf,Male,Baobab,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,False
58,Dwarf,Male,Flint,Vocational,5,True,False,False,False,True,False,True,False,False,False,False,False,False
59,Elf,Male,Yew,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
60,Elf,Male,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
61,Elf,Male,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
